experiment,split,variant,mode,seed,alignment_strength,best_epoch,lr_C,probe_dimensions,label_usage,alignment_label_usage,selection_usage,final_training,neural_test_accuracy,lr_train_accuracy,lr_train_balanced_accuracy,lr_train_macro_f1,lr_test_accuracy,lr_test_balanced_accuracy,lr_test_macro_f1
feature-fusion,S7_train_I_D1_3_val_D4_5,FEATURE-FUSION-UDA,uda,4,0.2,400,1.0,70,source labels only,CDAN domain labels plus class-conditional centroid weights,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.8829268292682927,1.0,1.0,1.0,0.8731707317073171,0.8701840673671658,0.8754803965732049
local-mkmmd,S1_train_I_test_all,LOCAL-MKMMD-UDA,uda,0,0.1,400,1.0,16,source labels only,detached target class probabilities,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.8241758241758241,1.0,1.0,1.0,0.8388278388278388,0.8388631687242798,0.8377708912737653
local-mkmmd,S1_train_I_test_all,LOCAL-MKMMD-UDA,uda,1,0.1,400,1.0,16,source labels only,detached target class probabilities,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.8424908424908425,1.0,1.0,1.0,0.8571428571428571,0.8549382716049383,0.8571526261946573
local-mkmmd,S1_train_I_test_all,LOCAL-MKMMD-UDA,uda,2,0.1,400,1.0,16,source labels only,detached target class probabilities,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.8864468864468864,1.0,1.0,1.0,0.8864468864468864,0.8840020576131687,0.8847810429271105
local-mkmmd,S1_train_I_test_all,LOCAL-MKMMD-UDA,uda,3,0.1,400,1.0,16,source labels only,detached target class probabilities,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.8351648351648352,1.0,1.0,1.0,0.8717948717948718,0.8701131687242798,0.8718054615211014
local-mkmmd,S1_train_I_test_all,LOCAL-MKMMD-UDA,uda,4,0.1,400,1.0,16,source labels only,detached target class probabilities,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.8388278388278388,1.0,1.0,1.0,0.8754578754578755,0.8729423868312757,0.8752868367354348
residual-mkmmd,S1_train_I_test_all,RESIDUAL-MKMMD-UDA,uda,0,0.1,400,1.0,54,source labels only,target features only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.8644688644688645,1.0,1.0,1.0,0.8461538461538461,0.8438786008230452,0.8493001322978951
residual-mkmmd,S1_train_I_test_all,RESIDUAL-MKMMD-UDA,uda,1,0.1,400,1.0,54,source labels only,target features only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.7912087912087912,1.0,1.0,1.0,0.8021978021978022,0.8015689300411522,0.8060748373038048
residual-mkmmd,S1_train_I_test_all,RESIDUAL-MKMMD-UDA,uda,2,0.1,400,1.0,54,source labels only,target features only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.7619047619047619,1.0,1.0,1.0,0.8278388278388278,0.8284465020576132,0.8307402913984655
residual-mkmmd,S1_train_I_test_all,RESIDUAL-MKMMD-UDA,uda,3,0.1,400,1.0,54,source labels only,target features only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.8717948717948718,1.0,1.0,1.0,0.8608058608058609,0.8571244855967078,0.8618703210252505
residual-mkmmd,S1_train_I_test_all,RESIDUAL-MKMMD-UDA,uda,4,0.1,400,1.0,54,source labels only,target features only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.8681318681318682,1.0,1.0,1.0,0.8717948717948718,0.8675411522633745,0.8735300964751644
residual-mkmmd,S2_train_I_internal_val_test_all,RESIDUAL-MKMMD-UDA,uda,0,0.1,260,1.0,54,source train + source validation labels,target features only,source validation labels,source train+source validation refit,0.8534798534798534,1.0,1.0,1.0,0.8534798534798534,0.8495370370370371,0.8551871192132103
residual-mkmmd,S2_train_I_internal_val_test_all,RESIDUAL-MKMMD-UDA,uda,1,0.1,210,1.0,54,source train + source validation labels,target features only,source validation labels,source train+source validation refit,0.7912087912087912,1.0,1.0,1.0,0.7912087912087912,0.7917952674897121,0.7968894536063736
residual-mkmmd,S2_train_I_internal_val_test_all,RESIDUAL-MKMMD-UDA,uda,2,0.1,230,1.0,54,source train + source validation labels,target features only,source validation labels,source train+source validation refit,0.8205128205128205,1.0,1.0,1.0,0.8241758241758241,0.8217592592592592,0.8286568973089384
