experiment,split,mode,alignment_strength,seed,best_epoch,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,selection_usage
local-mkmmd,S4_train_I_val_D1_2,semi,0.1,1,290,0.9642857142857143,0.9666666666666667,0.9628482972136223,target validation labels
local-mkmmd,S4_train_I_val_D1_2,semi,0.1,2,310,0.9642857142857143,0.9666666666666667,0.9628482972136223,target validation labels
local-mkmmd,S4_train_I_val_D1_2,semi,0.1,3,70,0.9642857142857143,0.9666666666666667,0.9628482972136223,target validation labels
local-mkmmd,S4_train_I_val_D1_2,semi,0.1,4,150,0.9285714285714286,0.9333333333333332,0.9274821039526921,target validation labels
local-mkmmd,S4_train_I_val_D1_2,semi,1.0,0,120,0.9642857142857143,0.9666666666666667,0.9628482972136223,target validation labels
local-mkmmd,S4_train_I_val_D1_2,semi,1.0,1,70,0.9642857142857143,0.9666666666666667,0.9628482972136223,target validation labels
local-mkmmd,S4_train_I_val_D1_2,semi,1.0,2,210,0.9642857142857143,0.9666666666666667,0.9628482972136223,target validation labels
local-mkmmd,S4_train_I_val_D1_2,semi,1.0,3,260,0.9642857142857143,0.9666666666666667,0.9628482972136223,target validation labels
local-mkmmd,S4_train_I_val_D1_2,semi,1.0,4,250,0.9642857142857143,0.9583333333333334,0.9619047619047619,target validation labels
local-mkmmd,S5_train_I_D1_val_D2_3,uda,0.1,0,400,,,,fixed hyperparameters; target labels prohibited for UDA selection
local-mkmmd,S5_train_I_D1_val_D2_3,uda,0.1,1,400,,,,fixed hyperparameters; target labels prohibited for UDA selection
local-mkmmd,S5_train_I_D1_val_D2_3,uda,0.1,2,400,,,,fixed hyperparameters; target labels prohibited for UDA selection
local-mkmmd,S5_train_I_D1_val_D2_3,uda,0.1,3,400,,,,fixed hyperparameters; target labels prohibited for UDA selection
local-mkmmd,S5_train_I_D1_val_D2_3,uda,0.1,4,400,,,,fixed hyperparameters; target labels prohibited for UDA selection
