architecture,split,description,variant,method,mode,seed,alignment_strength,centroid_strength,best_epoch,label_usage,selection_usage,final_training,algorithm_provenance,train_accuracy,train_balanced_accuracy,train_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,domain_accuracy,domain_balanced_accuracy,domain_source_recall,domain_target_recall
one-layer,S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,DEEP-CORAL-UDA,deep-coral,uda,1,0.001,0.0,10,source train + source validation labels,source validation labels,source train+source validation refit,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,0.8333333333333334,0.8611111111111112,0.8240387063916476,0.6776556776556777,0.6912294238683128,0.6650768116739079,,,,
one-layer,S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,DEEP-CORAL-UDA,deep-coral,uda,2,0.001,0.0,10,source train + source validation labels,source validation labels,source train+source validation refit,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,0.8333333333333334,0.861111111111111,0.8222222222222223,0.6556776556776557,0.6671810699588477,0.6634275611496427,,,,
one-layer,S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,DEEP-CORAL-UDA,deep-coral,uda,3,0.001,0.0,20,source train + source validation labels,source validation labels,source train+source validation refit,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,0.9,0.9166666666666666,0.8943001443001443,0.652014652014652,0.6598508230452674,0.6499062739372817,,,,
one-layer,S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,DEEP-CORAL-UDA,deep-coral,uda,4,0.001,0.0,10,source train + source validation labels,source validation labels,source train+source validation refit,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,0.8,0.8333333333333334,0.791919191919192,0.6483516483516484,0.6608796296296297,0.6450056853755108,,,,
one-layer,S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,MK-MMD-UDA,mk-mmd,uda,0,0.01,0.0,10,source train + source validation labels,source validation labels,source train+source validation refit,THU Transfer-Learning-Library tllib/alignment/dan.py and tllib/modules/kernels.py,0.8333333333333334,0.8611111111111112,0.8240387063916476,0.6703296703296703,0.6823559670781894,0.6608669275789801,,,,
one-layer,S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,MK-MMD-UDA,mk-mmd,uda,1,0.01,0.0,10,source train + source validation labels,source validation labels,source train+source validation refit,THU Transfer-Learning-Library tllib/alignment/dan.py and tllib/modules/kernels.py,0.8,0.8333333333333334,0.7936507936507936,0.6923076923076923,0.7064043209876543,0.6809022003545856,,,,
one-layer,S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,MK-MMD-UDA,mk-mmd,uda,2,0.01,0.0,10,source train + source validation labels,source validation labels,source train+source validation refit,THU Transfer-Learning-Library tllib/alignment/dan.py and tllib/modules/kernels.py,0.8333333333333334,0.861111111111111,0.8222222222222223,0.652014652014652,0.6637088477366255,0.6585698864545018,,,,
one-layer,S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,MK-MMD-UDA,mk-mmd,uda,3,0.01,0.0,20,source train + source validation labels,source validation labels,source train+source validation refit,THU Transfer-Learning-Library tllib/alignment/dan.py and tllib/modules/kernels.py,0.9,0.9166666666666666,0.8943001443001443,0.6556776556776557,0.6633230452674898,0.6533375480743903,,,,
one-layer,S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,MK-MMD-UDA,mk-mmd,uda,4,0.01,0.0,10,source train + source validation labels,source validation labels,source train+source validation refit,THU Transfer-Learning-Library tllib/alignment/dan.py and tllib/modules/kernels.py,0.8,0.8333333333333334,0.791919191919192,0.6483516483516484,0.6608796296296297,0.6450056853755108,,,,
one-layer,S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,MLP Source-only,source-only,uda,0,0.0,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,shared PyTorch source-only baseline,1.0,1.0,1.0,0.7877551020408163,0.7894764787087182,0.7887745601313441,,,,
one-layer,S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,MLP Source-only,source-only,uda,1,0.0,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,shared PyTorch source-only baseline,1.0,1.0,1.0,0.7918367346938775,0.7933524477009662,0.7901256264928055,,,,
