split,task,variant,space,label,domain,partition,period,day,day_num,target_file,x,y,architecture
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,alcohol,target,target_domain,Period_II,Day 6,6,alcohol\alcohol_30.csv,0.3533400790680462,-1.8336812330559067,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,alcohol,target,target_domain,Period_II,Day 6,6,alcohol\alcohol_31.csv,1.3047405985606535,-1.7395012869656263,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,alcohol,target,target_domain,Period_II,Day 6,6,alcohol\alcohol_32.csv,0.08669717318544576,0.8277389786796232,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,alcohol,target,target_domain,Period_II,Day 7,7,alcohol\alcohol_33.csv,1.8653803560978848,-1.94045851449601,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,alcohol,target,target_domain,Period_II,Day 7,7,alcohol\alcohol_34.csv,-0.2886350629618926,-0.5121861935789631,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,alcohol,target,target_domain,Period_II,Day 7,7,alcohol\alcohol_35.csv,3.383502481029479,-0.7339862788600406,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,alcohol,target,target_domain,Period_II,Day 8,8,alcohol\alcohol_36.csv,-1.9633443709011074,-1.5171195962843558,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,alcohol,target,target_domain,Period_II,Day 8,8,alcohol\alcohol_37.csv,-1.62825694034735,-1.5998133336400482,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,alcohol,target,target_domain,Period_II,Day 8,8,alcohol\alcohol_38.csv,-0.9704851561593942,-1.5895285687468363,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,alcohol,target,target_domain,Period_II,Day 9,9,alcohol\alcohol_39.csv,-2.0940395071856446,-1.2140257389984843,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,alcohol,target,target_domain,Period_II,Day 9,9,alcohol\alcohol_40.csv,-1.1015801694937724,-0.05873964506465648,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,alcohol,target,target_domain,Period_II,Day 9,9,alcohol\alcohol_41.csv,-2.37747289984794,-1.4731443714028998,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,alcohol,target,target_domain,Period_II,Day 9,9,alcohol\alcohol_42.csv,-0.6731398241702344,-1.8008539900860718,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,alcohol,target,target_domain,Period_II,Day 9,9,alcohol\alcohol_43.csv,-1.2052053439742918,-1.8889211842608937,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,acetone,target,target_domain,Period_II,Day 10,10,acetone\acetone_44.csv,4.495257259888431,-2.6266503848482605,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,acetone,target,target_domain,Period_II,Day 10,10,acetone\acetone_45.csv,-1.5432622068239006,0.1322813498112958,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,acetone,target,target_domain,Period_II,Day 10,10,acetone\acetone_46.csv,0.27065320568037055,-1.9646839079367373,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,acetone,target,target_domain,Period_II,Day 10,10,acetone\acetone_47.csv,0.10975193504115108,0.5059249504327267,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,acetone,target,target_domain,Period_II,Day 11,11,acetone\acetone_48.csv,0.37709187238278197,-2.669249508283589,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,acetone,target,target_domain,Period_II,Day 11,11,acetone\acetone_49.csv,3.0635082138374563,-2.5783077685659612,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,acetone,target,target_domain,Period_II,Day 11,11,acetone\acetone_50.csv,-1.084181736685009,1.0772830215656652,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,acetone,target,target_domain,Period_II,Day 11,11,acetone\acetone_51.csv,0.4391395752891044,-2.0035031996534363,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,acetone,target,target_domain,Period_II,Day 12,12,acetone\acetone_52.csv,-2.4496445320488793,1.6156202368955555,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,acetone,target,target_domain,Period_II,Day 12,12,acetone\acetone_53.csv,1.0864153833737618,2.748282019160831,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,acetone,target,target_domain,Period_II,Day 12,12,acetone\acetone_54.csv,-0.28160145584969953,2.870234756395214,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,acetone,target,target_domain,Period_II,Day 12,12,acetone\acetone_55.csv,-0.11245531639174765,1.29721579915109,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,acetone,target,target_domain,Period_II,Day 13,13,acetone\acetone_56.csv,0.9836549359341072,2.323540079154702,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,acetone,target,target_domain,Period_II,Day 13,13,acetone\acetone_57.csv,0.1308695512324969,0.32117084259151535,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,acetone,target,target_domain,Period_II,Day 14,14,acetone\acetone_58.csv,0.9106955337441844,0.39160341418947725,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,acetone,target,target_domain,Period_II,Day 14,14,acetone\acetone_59.csv,0.5254043953930699,-1.9574035703711348,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,acetone,target,target_domain,Period_II,Day 14,14,acetone\acetone_60.csv,3.3578877911444973,-2.428147059872433,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,acetone,target,target_domain,Period_II,Day 15,15,acetone\acetone_61.csv,-1.1567459013575492,-1.5206734428550308,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,acetone,target,target_domain,Period_II,Day 15,15,acetone\acetone_62.csv,-1.6795126218791756,0.9400802162414247,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,acetone,target,target_domain,Period_II,Day 15,15,acetone\acetone_63.csv,-1.6287018051318864,1.0176418877495128,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,acetone,target,target_domain,Period_II,Day 17,17,acetone\acetone_64.csv,-0.6764204801963607,-0.8170510496377716,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,acetone,target,target_domain,Period_II,Day 17,17,acetone\acetone_65.csv,-1.0684530221364759,-1.618844227832525,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,acetone,target,target_domain,Period_II,Day 17,17,acetone\acetone_66.csv,-1.2700389963935308,-0.32122036268197585,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,acetone,target,target_domain,Period_II,Day 17,17,acetone\acetone_67.csv,0.7030970945684242,-2.2575310669328443,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,acetone,target,target_domain,Period_II,Day 17,17,acetone\acetone_68.csv,2.022759229102061,-2.186125618914765,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,air,target,target_domain,Period_II,Day 10,10,air\air_18.csv,-3.84758645225605,0.7833094549193805,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,air,target,target_domain,Period_II,Day 10,10,air\air_19.csv,-3.116601943211614,2.7073585343273177,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,air,target,target_domain,Period_II,Day 11,11,air\air_20.csv,-3.1949746912557906,1.426256811758673,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,air,target,target_domain,Period_II,Day 11,11,air\air_21.csv,-5.135009313055471,1.5736399626433608,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,air,target,target_domain,Period_II,Day 12,12,air\air_22.csv,-3.1607291204743775,0.885217952365173,One-layer G_f: 54 -> 16
