Task,Split,Model,Best hyperparameters,Selection,Train n,Validation n,Test n,Train Acc,Val Acc,Test Acc,Train BA,Val BA,Test BA,Train Macro-F1,Val Macro-F1,Test Macro-F1,Train-Test Gap,Val-Test Gap,Judgment
Binary classification: alcohol / acetone only,Split 2: Period I holdout validation; train 25 / val 5 for three-class; test all Period II/III,Logistic Regression,l2=0.001,validation_accuracy_macro_f1_balanced_accuracy,20,4,160,1.0,1.0,0.825,1.0,1.0,0.825,1.0,1.0,0.8209718670076727,0.175,0.175,Acceptable
Binary classification: alcohol / acetone only,Split 2: Period I holdout validation; train 25 / val 5 for three-class; test all Period II/III,kNN,k=3,validation_accuracy_macro_f1_balanced_accuracy,20,4,160,0.85,1.0,0.65625,0.8500000000000001,1.0,0.65625,0.849624060150376,1.0,0.6561291078894924,0.1937499999999999,0.34375,Optimistic validation
Binary classification: alcohol / acetone only,Split 2: Period I holdout validation; train 25 / val 5 for three-class; test all Period II/III,Random Forest,subspace=1.5,validation_accuracy_macro_f1_balanced_accuracy,20,4,160,0.85,0.75,0.5875,0.85,0.75,0.5874999999999999,0.8465473145780051,0.7333333333333334,0.5744680851063829,0.2624999999999999,0.1624999999999999,Overfitting/domain shift
Binary classification: alcohol / acetone only,Split 2: Period I holdout validation; train 25 / val 5 for three-class; test all Period II/III,RBF LS-SVM,gamma=0.5;C=100.0,validation_accuracy_macro_f1_balanced_accuracy,20,4,160,1.0,1.0,0.89375,1.0,1.0,0.89375,1.0,1.0,0.8930439227714208,0.1062499999999999,0.1062499999999999,Best; Acceptable
Binary classification: alcohol / acetone only,Split 2: Period I holdout validation; train 25 / val 5 for three-class; test all Period II/III,MLP,h=8;l2=0.001;lr=0.03,validation_accuracy_macro_f1_balanced_accuracy,20,4,160,1.0,1.0,0.8375,1.0,1.0,0.8375,1.0,1.0,0.8372711625723674,0.1624999999999999,0.1624999999999999,Acceptable
Binary classification: alcohol / acetone only,Split 3: Period I holdout validation; train 20 / val 10 for three-class; test all Period II/III,LDA,shrinkage=0.25,validation_accuracy_macro_f1_balanced_accuracy,16,8,160,1.0,0.75,0.79375,1.0,0.75,0.79375,1.0,0.7333333333333334,0.7857055887008401,0.20625,-0.0437499999999999,Acceptable
Binary classification: alcohol / acetone only,Split 3: Period I holdout validation; train 20 / val 10 for three-class; test all Period II/III,Logistic Regression,l2=0.001,validation_accuracy_macro_f1_balanced_accuracy,16,8,160,1.0,0.75,0.85,1.0,0.75,0.8500000000000001,1.0,0.7333333333333334,0.8471094123268037,0.15,-0.0999999999999999,Acceptable
Binary classification: alcohol / acetone only,Split 3: Period I holdout validation; train 20 / val 10 for three-class; test all Period II/III,kNN,k=1,validation_accuracy_macro_f1_balanced_accuracy,16,8,160,1.0,0.75,0.575,1.0,0.75,0.575,1.0,0.7333333333333334,0.5549009981999673,0.425,0.175,Overfitting/domain shift
Binary classification: alcohol / acetone only,Split 3: Period I holdout validation; train 20 / val 10 for three-class; test all Period II/III,Random Forest,subspace=1.5,validation_accuracy_macro_f1_balanced_accuracy,16,8,160,0.875,0.75,0.5875,0.875,0.75,0.5875,0.873015873015873,0.7333333333333334,0.56550362080316,0.2875,0.1624999999999999,Overfitting/domain shift
Binary classification: alcohol / acetone only,Split 3: Period I holdout validation; train 20 / val 10 for three-class; test all Period II/III,RBF LS-SVM,gamma=1.0;C=100.0,validation_accuracy_macro_f1_balanced_accuracy,16,8,160,1.0,0.875,0.86875,1.0,0.875,0.8687499999999999,1.0,0.873015873015873,0.8684982975226019,0.1312499999999999,0.0062499999999999,Best; Acceptable
Binary classification: alcohol / acetone only,Split 3: Period I holdout validation; train 20 / val 10 for three-class; test all Period II/III,MLP,h=8;l2=0.001;lr=0.01,validation_accuracy_macro_f1_balanced_accuracy,16,8,160,1.0,0.75,0.75625,1.0,0.75,0.7562500000000001,1.0,0.7333333333333334,0.7557825525419748,0.24375,-0.0062499999999999,Acceptable
Binary classification: alcohol / acetone only,Split 4: Train Period I; validation Day1-2; test Day3-19,LDA,shrinkage=0.1,validation_accuracy_macro_f1_balanced_accuracy,24,20,140,1.0,0.85,0.6,1.0,0.85,0.6,1.0,0.8465473145780051,0.5238095238095238,0.4,0.25,Overfitting/domain shift
Binary classification: alcohol / acetone only,Split 4: Train Period I; validation Day1-2; test Day3-19,Logistic Regression,l2=0.001,validation_accuracy_macro_f1_balanced_accuracy,24,20,140,1.0,0.95,0.7714285714285715,1.0,0.95,0.7714285714285714,1.0,0.949874686716792,0.7619047619047619,0.2285714285714285,0.1785714285714285,Overfitting/domain shift
Binary classification: alcohol / acetone only,Split 4: Train Period I; validation Day1-2; test Day3-19,kNN,k=3,validation_accuracy_macro_f1_balanced_accuracy,24,20,140,0.9166666666666666,0.8,0.6214285714285714,0.9166666666666666,0.8,0.6214285714285714,0.9166666666666666,0.7916666666666665,0.6209450830140485,0.2952380952380952,0.1785714285714286,Overfitting/domain shift
Binary classification: alcohol / acetone only,Split 4: Train Period I; validation Day1-2; test Day3-19,Random Forest,subspace=1.5,validation_accuracy_macro_f1_balanced_accuracy,24,20,140,0.8333333333333334,0.65,0.5642857142857143,0.8333333333333333,0.65,0.5642857142857143,0.8285714285714285,0.6419437340153452,0.527628740527684,0.2690476190476191,0.0857142857142857,High gap
Binary classification: alcohol / acetone only,Split 4: Train Period I; validation Day1-2; test Day3-19,RBF LS-SVM,gamma=0.5;C=100.0,validation_accuracy_macro_f1_balanced_accuracy,24,20,140,1.0,1.0,0.7928571428571428,1.0,1.0,0.7928571428571429,1.0,1.0,0.786034255599473,0.2071428571428571,0.2071428571428571,Overfitting/domain shift
Binary classification: alcohol / acetone only,Split 4: Train Period I; validation Day1-2; test Day3-19,MLP,h=8;l2=0.001;lr=0.03,validation_accuracy_macro_f1_balanced_accuracy,24,20,140,1.0,0.95,0.8642857142857143,1.0,0.95,0.8642857142857143,1.0,0.949874686716792,0.8627096774193548,0.1357142857142856,0.0857142857142856,Best; Acceptable
Binary classification: alcohol / acetone only,Split 5: Train Period I + Day1; validation Day2-3; test Day4-19,LDA,shrinkage=0.25,validation_accuracy_macro_f1_balanced_accuracy,34,20,130,0.9705882352941176,0.95,0.8076923076923077,0.9705882352941176,0.95,0.8076923076923077,0.9705627705627706,0.949874686716792,0.8003072196620584,0.1628959276018099,0.1423076923076922,Acceptable
Binary classification: alcohol / acetone only,Split 5: Train Period I + Day1; validation Day2-3; test Day4-19,Logistic Regression,l2=0.05,validation_accuracy_macro_f1_balanced_accuracy,34,20,130,1.0,0.95,0.8538461538461538,1.0,0.95,0.8538461538461539,1.0,0.949874686716792,0.8506560251526695,0.1461538461538462,0.0961538461538461,Best; Acceptable
Binary classification: alcohol / acetone only,Split 5: Train Period I + Day1; validation Day2-3; test Day4-19,kNN,k=3,validation_accuracy_macro_f1_balanced_accuracy,34,20,130,0.9411764705882352,0.65,0.6538461538461539,0.9411764705882352,0.6499999999999999,0.6538461538461539,0.9411764705882352,0.6491228070175439,0.6528395940893715,0.2873303167420814,-0.0038461538461538,High gap
Binary classification: alcohol / acetone only,Split 5: Train Period I + Day1; validation Day2-3; test Day4-19,Random Forest,subspace=1.5,validation_accuracy_macro_f1_balanced_accuracy,34,20,130,0.7941176470588235,0.55,0.6,0.7941176470588236,0.55,0.6000000000000001,0.7925021795989537,0.4871794871794872,0.5305555555555557,0.1941176470588235,-0.0499999999999999,Acceptable
Binary classification: alcohol / acetone only,Split 5: Train Period I + Day1; validation Day2-3; test Day4-19,RBF LS-SVM,gamma=0.5;C=100.0,validation_accuracy_macro_f1_balanced_accuracy,34,20,130,1.0,1.0,0.7923076923076923,1.0,1.0,0.7923076923076924,1.0,1.0,0.7855964815832877,0.2076923076923077,0.2076923076923077,Overfitting/domain shift
Binary classification: alcohol / acetone only,Split 5: Train Period I + Day1; validation Day2-3; test Day4-19,MLP,h=8;l2=0.001;lr=0.01,validation_accuracy_macro_f1_balanced_accuracy,34,20,130,1.0,0.95,0.8461538461538461,1.0,0.95,0.8461538461538461,1.0,0.949874686716792,0.8424242424242423,0.1538461538461538,0.1038461538461538,Acceptable
Binary classification: alcohol / acetone only,Split 6: Train Period I + Day1-2; validation Day3-5; test Day6-19,LDA,shrinkage=0.25,validation_accuracy_macro_f1_balanced_accuracy,44,30,110,0.9545454545454546,0.9333333333333332,0.9181818181818182,0.9545454545454546,0.9333333333333332,0.9181818181818182,0.9544513457556936,0.9330357142857144,0.9176304185040352,0.0363636363636363,0.0151515151515151,Acceptable
