split,task,model,partition,random_state,n,accuracy,balanced_accuracy,macro_f1,fit_id
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Random Forest,validation,4.0,5,0.8,0.8333333333333334,0.8222222222222223,three_class_with_air|Random Forest|seed=4
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Random Forest,test,4.0,84,0.9404761904761905,0.9494949494949495,0.9493903841729928,three_class_with_air|Random Forest|seed=4
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,Random Forest,train,4.0,30,0.9,0.9166666666666666,0.9153439153439153,three_class_with_air|Random Forest|seed=4
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,Random Forest,validation,4.0,5,0.8,0.8333333333333334,0.8222222222222223,three_class_with_air|Random Forest|seed=4
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,Random Forest,test,4.0,81,0.8765432098765432,0.8666666666666667,0.8647186147186147,three_class_with_air|Random Forest|seed=4
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,Random Forest,train,4.0,30,0.9,0.9166666666666666,0.9153439153439153,three_class_with_air|Random Forest|seed=4
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,Random Forest,validation,4.0,5,0.8,0.8333333333333334,0.8222222222222223,three_class_with_air|Random Forest|seed=4
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,Random Forest,test,4.0,46,0.8695652173913043,0.875,0.8704453441295547,three_class_with_air|Random Forest|seed=4
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,Random Forest,train,4.0,30,0.9,0.9166666666666666,0.9153439153439153,three_class_with_air|Random Forest|seed=4
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,Random Forest,validation,4.0,5,0.8,0.8333333333333334,0.8222222222222223,three_class_with_air|Random Forest|seed=4
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,Random Forest,test,4.0,34,0.9411764705882353,0.9444444444444445,0.9440559440559441,three_class_with_air|Random Forest|seed=4
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,RBF SVM,train,,30,0.8333333333333334,0.861111111111111,0.8344322344322345,three_class_with_air|RBF SVM|seed=deterministic
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,RBF SVM,validation,,5,0.8,0.8333333333333334,0.8222222222222223,three_class_with_air|RBF SVM|seed=deterministic
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,RBF SVM,test,,28,0.6785714285714286,0.6916666666666668,0.6805555555555555,three_class_with_air|RBF SVM|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,RBF SVM,train,,30,0.8333333333333334,0.861111111111111,0.8344322344322345,three_class_with_air|RBF SVM|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,RBF SVM,validation,,5,0.8,0.8333333333333334,0.8222222222222223,three_class_with_air|RBF SVM|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,RBF SVM,test,,84,0.6547619047619048,0.6902356902356903,0.6719325082278774,three_class_with_air|RBF SVM|seed=deterministic
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,RBF SVM,train,,30,0.8333333333333334,0.861111111111111,0.8344322344322345,three_class_with_air|RBF SVM|seed=deterministic
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,RBF SVM,validation,,5,0.8,0.8333333333333334,0.8222222222222223,three_class_with_air|RBF SVM|seed=deterministic
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,RBF SVM,test,,81,0.6666666666666666,0.6477419354838709,0.6129033829130262,three_class_with_air|RBF SVM|seed=deterministic
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,RBF SVM,train,,30,0.8333333333333334,0.861111111111111,0.8344322344322345,three_class_with_air|RBF SVM|seed=deterministic
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,RBF SVM,validation,,5,0.8,0.8333333333333334,0.8222222222222223,three_class_with_air|RBF SVM|seed=deterministic
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,RBF SVM,test,,46,0.6521739130434783,0.6607142857142857,0.6610757663389243,three_class_with_air|RBF SVM|seed=deterministic
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,RBF SVM,train,,30,0.8333333333333334,0.861111111111111,0.8344322344322345,three_class_with_air|RBF SVM|seed=deterministic
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,RBF SVM,validation,,5,0.8,0.8333333333333334,0.8222222222222223,three_class_with_air|RBF SVM|seed=deterministic
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,RBF SVM,test,,34,0.8529411764705882,0.8611111111111112,0.8568542568542569,three_class_with_air|RBF SVM|seed=deterministic
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,MLP,train,0.0,30,1.0,1.0,1.0,three_class_with_air|MLP|seed=0
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,MLP,validation,0.0,5,0.6,0.6666666666666666,0.611111111111111,three_class_with_air|MLP|seed=0
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,MLP,test,0.0,28,0.8214285714285714,0.8333333333333334,0.8137254901960785,three_class_with_air|MLP|seed=0
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,MLP,train,0.0,30,1.0,1.0,1.0,three_class_with_air|MLP|seed=0
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,MLP,validation,0.0,5,0.6,0.6666666666666666,0.611111111111111,three_class_with_air|MLP|seed=0
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,MLP,test,0.0,84,0.8690476190476191,0.8804713804713805,0.8623591344902821,three_class_with_air|MLP|seed=0
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,MLP,train,0.0,30,1.0,1.0,1.0,three_class_with_air|MLP|seed=0
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,MLP,validation,0.0,5,0.6,0.6666666666666666,0.611111111111111,three_class_with_air|MLP|seed=0
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,MLP,test,0.0,81,0.7283950617283951,0.7221505376344086,0.7174128155755243,three_class_with_air|MLP|seed=0
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,MLP,train,0.0,30,1.0,1.0,1.0,three_class_with_air|MLP|seed=0
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,MLP,validation,0.0,5,0.6,0.6666666666666666,0.611111111111111,three_class_with_air|MLP|seed=0
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,MLP,test,0.0,46,0.717391304347826,0.7202380952380952,0.7115384615384616,three_class_with_air|MLP|seed=0
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,MLP,train,0.0,30,1.0,1.0,1.0,three_class_with_air|MLP|seed=0
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,MLP,validation,0.0,5,0.6,0.6666666666666666,0.611111111111111,three_class_with_air|MLP|seed=0
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,MLP,test,0.0,34,0.8823529411764706,0.8833333333333333,0.8820779220779221,three_class_with_air|MLP|seed=0
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,MLP,train,1.0,30,1.0,1.0,1.0,three_class_with_air|MLP|seed=1
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,MLP,validation,1.0,5,0.6,0.6666666666666666,0.611111111111111,three_class_with_air|MLP|seed=1
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,MLP,test,1.0,28,0.8928571428571429,0.9,0.8912655971479501,three_class_with_air|MLP|seed=1
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,MLP,train,1.0,30,1.0,1.0,1.0,three_class_with_air|MLP|seed=1
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,MLP,validation,1.0,5,0.6,0.6666666666666666,0.611111111111111,three_class_with_air|MLP|seed=1
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,MLP,test,1.0,84,0.8095238095238095,0.8215488215488215,0.8273057371096586,three_class_with_air|MLP|seed=1
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,MLP,train,1.0,30,1.0,1.0,1.0,three_class_with_air|MLP|seed=1
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,MLP,validation,1.0,5,0.6,0.6666666666666666,0.611111111111111,three_class_with_air|MLP|seed=1
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,MLP,test,1.0,81,0.6666666666666666,0.6580645161290323,0.6224409209647045,three_class_with_air|MLP|seed=1
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,MLP,train,1.0,30,1.0,1.0,1.0,three_class_with_air|MLP|seed=1
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,MLP,validation,1.0,5,0.6,0.6666666666666666,0.611111111111111,three_class_with_air|MLP|seed=1
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,MLP,test,1.0,46,0.8695652173913043,0.8660714285714285,0.8721863799283155,three_class_with_air|MLP|seed=1
