representation,from_day,to_day,from_day_num,to_day_num,gas,drift_distance,angle_to_acetone_minus_alcohol_deg,projection_on_acetone_minus_alcohol,interpretation
uci48_features_zscore,Day6,Day7,6,7,balanced_all_available_gases,1.7555448344933362,80.16097620151851,0.2999885806547665,overall balanced day shift relative to acetone-minus-alcohol axis
uci48_features_zscore,Day7,Day8,7,8,air,1.3547278159623797,100.75296213621553,-0.25275810856163755,projection relative to acetone-minus-alcohol axis
uci48_features_zscore,Day7,Day8,7,8,alcohol,2.8946414805242013,62.26387561326735,1.3471666795916482,positive means movement toward acetone side
uci48_features_zscore,Day7,Day8,7,8,acetone,5.421023019240281,68.40572382023248,1.9951081366302614,negative means movement toward alcohol side
uci48_features_zscore,Day7,Day8,7,8,balanced_all_available_gases,2.506046935688225,65.73600249889378,1.0298389025534243,overall balanced day shift relative to acetone-minus-alcohol axis
uci48_features_zscore,Day8,Day9,8,9,air,2.9470485117522616,84.50225347868835,0.28234670647407323,projection relative to acetone-minus-alcohol axis
uci48_features_zscore,Day8,Day9,8,9,alcohol,6.657248104818405,54.94194845250861,3.823963913889317,positive means movement toward acetone side
uci48_features_zscore,Day8,Day9,8,9,acetone,3.158023644550976,126.48224917746346,-1.877677850636509,negative means movement toward alcohol side
uci48_features_zscore,Day8,Day9,8,9,balanced_all_available_gases,2.5863809573458565,73.30800656365851,0.7428775899089606,overall balanced day shift relative to acetone-minus-alcohol axis
uci48_features_zscore,Day9,Day10,9,10,air,5.36697717477209,79.49100541006997,0.9788823213842844,projection relative to acetone-minus-alcohol axis
uci48_features_zscore,Day9,Day10,9,10,alcohol,6.835328084720512,71.96620463080234,2.1160665976996214,positive means movement toward acetone side
uci48_features_zscore,Day9,Day10,9,10,acetone,4.316716311585728,123.5799524530314,-2.387576136465566,negative means movement toward alcohol side
uci48_features_zscore,Day9,Day10,9,10,balanced_all_available_gases,3.802218717842543,86.4445761192669,0.23579092753944653,overall balanced day shift relative to acetone-minus-alcohol axis
