mode,classifier,sensors,mean_balanced_accuracy,mean_macro_f1,std_balanced_accuracy
stratified_random_holdout,centroid,s4+s5+s6,0.7529545454545454,0.7347067134058242,0.04599994192732177
stratified_random_holdout,centroid,s2+s4+s6,0.7451136363636363,0.7355351203314322,0.05097219961794584
stratified_random_holdout,centroid,s1+s5+s6,0.6801515151515152,0.6580122245048995,0.03993616847167273
stratified_random_holdout,gnb,s1+s2+s3,0.9343560606060606,0.9358691390344923,0.0275948511834614
stratified_random_holdout,gnb,s2+s3+s5,0.9295265151515152,0.9311987118171107,0.02851576111929777
stratified_random_holdout,gnb,s1+s2+s5,0.9074621212121212,0.9089059823007369,0.030857553534918685
stratified_random_holdout,gnb,s1+s2+s6,0.9025568181818183,0.9053979197295453,0.03461653817966012
stratified_random_holdout,gnb,s2+s5+s6,0.899564393939394,0.9027011513289628,0.034700254967819685
stratified_random_holdout,gnb,s1+s2+s4,0.8982196969696971,0.8996759411832782,0.028916146308923692
stratified_random_holdout,gnb,s2+s4+s5,0.8972727272727273,0.8989206885435714,0.02847484992119727
stratified_random_holdout,gnb,s2+s3+s6,0.8915909090909092,0.8904761654393671,0.03398352300761817
stratified_random_holdout,gnb,s2+s3+s4,0.8747727272727274,0.8708691038917241,0.03436431703195851
stratified_random_holdout,gnb,s1+s3+s4,0.8444507575757576,0.8406579207867578,0.0430857011020711
stratified_random_holdout,gnb,s2+s4+s6,0.8354924242424242,0.8318672805426256,0.03627019435619975
stratified_random_holdout,gnb,s3+s4+s5,0.825719696969697,0.8224656265612793,0.04575405417946072
stratified_random_holdout,gnb,s1+s4+s6,0.7950378787878788,0.7893453718799962,0.037851593390809166
stratified_random_holdout,gnb,s1+s4+s5,0.7882007575757577,0.7801602581075453,0.03771972168321941
stratified_random_holdout,gnb,s4+s5+s6,0.7742803030303032,0.7704900340039957,0.041290511369218186
stratified_random_holdout,gnb,s1+s3+s5,0.7692234848484848,0.7653850025778933,0.04723346528576886
stratified_random_holdout,gnb,s3+s4+s6,0.7658333333333333,0.7573066281293377,0.0611639743581338
stratified_random_holdout,gnb,s3+s5+s6,0.7496780303030303,0.7513607913985639,0.05119270085891809
stratified_random_holdout,gnb,s1+s3+s6,0.7345833333333333,0.7332235352649354,0.05043614732794686
stratified_random_holdout,gnb,s1+s5+s6,0.6832575757575757,0.6728825019546418,0.04602734438931882
stratified_random_holdout,lda,s1+s2+s3,0.9668181818181819,0.9617362796551346,0.019464856375056294
stratified_random_holdout,lda,s2+s3+s5,0.9611174242424242,0.9567557921707669,0.022304790089137775
stratified_random_holdout,lda,s2+s3+s4,0.9497159090909091,0.9443468078291685,0.023979891042338483
stratified_random_holdout,lda,s2+s3+s6,0.9449242424242424,0.9408941946769181,0.02748889773622153
stratified_random_holdout,lda,s1+s2+s6,0.9405871212121213,0.9331193165737135,0.028406737735415497
stratified_random_holdout,lda,s1+s2+s4,0.9322727272727274,0.9235652048149972,0.034149441300195094
stratified_random_holdout,lda,s3+s4+s5,0.9289204545454546,0.9241854143728452,0.031175800735466688
stratified_random_holdout,lda,s1+s3+s4,0.9273674242424244,0.9226596481902111,0.030669528378253933
