mode,split_id,group,classifier,case,removed_sensor,n_features,accuracy,balanced_accuracy,macro_f1,delta_balanced_accuracy_vs_all,delta_macro_f1_vs_all
stratified_random_holdout,5,,lda,all,,54,0.9666666666666667,0.9696969696969697,0.9648882808937529,0.0,0.0
stratified_random_holdout,5,,lda,without_s1,s1,45,0.9666666666666667,0.9696969696969697,0.9666185666185667,0.0,-0.0017302857248138181
stratified_random_holdout,5,,lda,without_s2,s2,45,0.95,0.9545454545454546,0.9518037518037517,0.015151515151515138,0.01308452909000124
stratified_random_holdout,5,,lda,without_s3,s3,45,0.9,0.9090909090909092,0.8985879332477534,0.06060606060606055,0.06630034764599946
stratified_random_holdout,5,,lda,without_s4,s4,45,0.9666666666666667,0.9696969696969697,0.9648882808937529,0.0,0.0
stratified_random_holdout,5,,lda,without_s5,s5,45,0.95,0.9545454545454546,0.9478036175710595,0.015151515151515138,0.017084663322693427
stratified_random_holdout,5,,lda,without_s6,s6,45,0.95,0.9545454545454546,0.9478036175710595,0.015151515151515138,0.017084663322693427
stratified_random_holdout,5,,gnb,all,,54,0.9166666666666666,0.9242424242424243,0.9242032730404824,0.0,0.0
stratified_random_holdout,5,,gnb,without_s1,s1,45,0.9166666666666666,0.9242424242424243,0.9242032730404824,0.0,0.0
stratified_random_holdout,5,,gnb,without_s2,s2,45,0.75,0.7727272727272728,0.7628032345013477,0.1515151515151515,0.16140003853913476
stratified_random_holdout,5,,gnb,without_s3,s3,45,0.9,0.9090909090909092,0.9090909090909092,0.015151515151515138,0.015112363949573271
stratified_random_holdout,5,,gnb,without_s4,s4,45,0.9,0.9090909090909092,0.9089026915113871,0.015151515151515138,0.015300581529095303
stratified_random_holdout,5,,gnb,without_s5,s5,45,0.9166666666666666,0.9242424242424243,0.9242032730404824,0.0,0.0
stratified_random_holdout,5,,gnb,without_s6,s6,45,0.9166666666666666,0.9242424242424243,0.9242032730404824,0.0,0.0
stratified_random_holdout,5,,centroid,all,,54,0.8666666666666667,0.8787878787878789,0.8691516024102811,0.0,0.0
stratified_random_holdout,5,,centroid,without_s1,s1,45,0.9,0.9090909090909092,0.9021961212199009,-0.030303030303030276,-0.03304451880961978
stratified_random_holdout,5,,centroid,without_s2,s2,45,0.8333333333333334,0.8484848484848485,0.8396392927056257,0.030303030303030387,0.02951230970465546
stratified_random_holdout,5,,centroid,without_s3,s3,45,0.8166666666666667,0.8333333333333334,0.8285514721684936,0.045454545454545525,0.040600130241787546
stratified_random_holdout,5,,centroid,without_s4,s4,45,0.9,0.9090909090909092,0.9010582010582011,-0.030303030303030276,-0.031906598647920004
stratified_random_holdout,5,,centroid,without_s5,s5,45,0.8833333333333333,0.8939393939393939,0.8831908831908833,-0.015151515151515027,-0.014039280780602237
stratified_random_holdout,5,,centroid,without_s6,s6,45,0.8833333333333333,0.8939393939393939,0.8852152678239635,-0.015151515151515027,-0.016063665413682426
stratified_random_holdout,6,,lda,all,,54,1.0,1.0,1.0,0.0,0.0
stratified_random_holdout,6,,lda,without_s1,s1,45,1.0,1.0,1.0,0.0,0.0
stratified_random_holdout,6,,lda,without_s2,s2,45,0.9,0.9090909090909092,0.9089026915113871,0.09090909090909083,0.09109730848861286
stratified_random_holdout,6,,lda,without_s3,s3,45,0.9833333333333333,0.9848484848484849,0.9821470519144938,0.015151515151515138,0.017852948085506193
