split,task,model,partition,random_state,n,accuracy,balanced_accuracy,macro_f1
S5_train_I_D1_val_D2_3,three_class_with_air,MLP,validation,2.0,26,0.8076923076923077,0.8333333333333334,0.8010835913312694
S5_train_I_D1_val_D2_3,three_class_with_air,MLP,test,2.0,231,0.8658008658008658,0.8688495258543568,0.8659391924399591
S5_train_I_D1_val_D2_3,three_class_with_air,MLP,train,3.0,72,1.0,1.0,1.0
S5_train_I_D1_val_D2_3,three_class_with_air,MLP,validation,3.0,26,0.7692307692307693,0.7999999999999999,0.7579365079365079
S5_train_I_D1_val_D2_3,three_class_with_air,MLP,test,3.0,231,0.8874458874458875,0.8894256575415996,0.8873456764165474
S5_train_I_D1_val_D2_3,three_class_with_air,MLP,train,4.0,72,1.0,1.0,1.0
S5_train_I_D1_val_D2_3,three_class_with_air,MLP,validation,4.0,26,0.9230769230769231,0.9333333333333332,0.9234817813765183
S5_train_I_D1_val_D2_3,three_class_with_air,MLP,test,4.0,231,0.8787878787878788,0.8811952048667026,0.8799861973775017
S6_train_I_D1_2_val_D3_5,three_class_with_air,LDA,train,,98,0.9285714285714286,0.9369369369369368,0.924443631485885
S6_train_I_D1_2_val_D3_5,three_class_with_air,LDA,validation,,40,0.925,0.9333333333333332,0.9219072444878896
S6_train_I_D1_2_val_D3_5,three_class_with_air,LDA,test,,205,0.9024390243902439,0.903122438333706,0.9019800562502546
S6_train_I_D1_2_val_D3_5,three_class_with_air,Logistic Regression,train,,98,0.9693877551020408,0.9729729729729729,0.9681377151799687
S6_train_I_D1_2_val_D3_5,three_class_with_air,Logistic Regression,validation,,40,0.95,0.9555555555555556,0.9553571428571429
S6_train_I_D1_2_val_D3_5,three_class_with_air,Logistic Regression,test,,205,0.9707317073170731,0.9712348163052389,0.9713485288232161
S6_train_I_D1_2_val_D3_5,three_class_with_air,kNN,train,,98,1.0,1.0,1.0
S6_train_I_D1_2_val_D3_5,three_class_with_air,kNN,validation,,40,0.875,0.8777777777777779,0.8736772486772487
S6_train_I_D1_2_val_D3_5,three_class_with_air,kNN,test,,205,0.8682926829268293,0.8684700797376855,0.8725427985723387
S6_train_I_D1_2_val_D3_5,three_class_with_air,Random Forest,train,0.0,98,0.9183673469387755,0.9279279279279279,0.9279279279279279
S6_train_I_D1_2_val_D3_5,three_class_with_air,Random Forest,validation,0.0,40,0.8,0.8222222222222223,0.8086124401913876
S6_train_I_D1_2_val_D3_5,three_class_with_air,Random Forest,test,0.0,205,0.9170731707317074,0.92018779342723,0.9190272536687631
S6_train_I_D1_2_val_D3_5,three_class_with_air,Random Forest,train,1.0,98,0.9183673469387755,0.9279279279279279,0.9279279279279279
S6_train_I_D1_2_val_D3_5,three_class_with_air,Random Forest,validation,1.0,40,0.8,0.8222222222222223,0.8086124401913876
S6_train_I_D1_2_val_D3_5,three_class_with_air,Random Forest,test,1.0,205,0.9170731707317074,0.92018779342723,0.9190272536687631
S6_train_I_D1_2_val_D3_5,three_class_with_air,Random Forest,train,2.0,98,0.9183673469387755,0.9279279279279279,0.9279279279279279
S6_train_I_D1_2_val_D3_5,three_class_with_air,Random Forest,validation,2.0,40,0.8,0.8222222222222223,0.8086124401913876
S6_train_I_D1_2_val_D3_5,three_class_with_air,Random Forest,test,2.0,205,0.9170731707317074,0.92018779342723,0.9190272536687631
S6_train_I_D1_2_val_D3_5,three_class_with_air,Random Forest,train,3.0,98,0.9183673469387755,0.9279279279279279,0.9279279279279279
S6_train_I_D1_2_val_D3_5,three_class_with_air,Random Forest,validation,3.0,40,0.8,0.8222222222222223,0.8086124401913876
S6_train_I_D1_2_val_D3_5,three_class_with_air,Random Forest,test,3.0,205,0.9170731707317074,0.92018779342723,0.9190272536687631
S6_train_I_D1_2_val_D3_5,three_class_with_air,Random Forest,train,4.0,98,0.9081632653061225,0.918918918918919,0.918904109589041
S6_train_I_D1_2_val_D3_5,three_class_with_air,Random Forest,validation,4.0,40,0.8,0.8222222222222223,0.8086124401913876
S6_train_I_D1_2_val_D3_5,three_class_with_air,Random Forest,test,4.0,205,0.9170731707317074,0.92018779342723,0.9190272536687631
S6_train_I_D1_2_val_D3_5,three_class_with_air,RBF SVM,train,,98,0.9897959183673469,0.990990990990991,0.9909893455098935
S6_train_I_D1_2_val_D3_5,three_class_with_air,RBF SVM,validation,,40,0.95,0.9555555555555556,0.9555555555555556
S6_train_I_D1_2_val_D3_5,three_class_with_air,RBF SVM,test,,205,0.9609756097560975,0.9606528057232282,0.9619266907997548
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP,train,0.0,98,1.0,1.0,1.0
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP,validation,0.0,40,0.85,0.8666666666666667,0.8428853754940712
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP,test,0.0,205,0.926829268292683,0.9242119382964454,0.926524803469775
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP,train,1.0,98,1.0,1.0,1.0
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP,validation,1.0,40,0.875,0.8888888888888888,0.8782446311858076
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP,test,1.0,205,0.9512195121951219,0.9500707951412176,0.9508771014176439
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP,train,2.0,98,1.0,1.0,1.0
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP,validation,2.0,40,0.775,0.7999999999999999,0.7644087938205585
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP,test,2.0,205,0.9463414634146341,0.9447797898502124,0.9461090767122036
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP,train,3.0,98,1.0,1.0,1.0
