split,task,model,partition,random_state,label,support,predicted_n,precision,recall,f1
S2_train_I_internal_val_test_all,three_class_with_air,MLP,validation,0.0,acetone,2,1,1.0,0.5,0.6666666666666666
S2_train_I_internal_val_test_all,three_class_with_air,MLP,test,0.0,air,81,89,0.7865168539325843,0.8641975308641975,0.8235294117647058
S2_train_I_internal_val_test_all,three_class_with_air,MLP,test,0.0,alcohol,96,92,0.7934782608695652,0.7604166666666666,0.776595744680851
S2_train_I_internal_val_test_all,three_class_with_air,MLP,test,0.0,acetone,96,92,0.8152173913043478,0.78125,0.7978723404255319
S2_train_I_internal_val_test_all,three_class_with_air,MLP,train,1.0,air,6,6,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,MLP,train,1.0,alcohol,12,12,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,MLP,train,1.0,acetone,12,12,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,MLP,validation,1.0,air,1,3,0.3333333333333333,1.0,0.5
S2_train_I_internal_val_test_all,three_class_with_air,MLP,validation,1.0,alcohol,2,1,1.0,0.5,0.6666666666666666
S2_train_I_internal_val_test_all,three_class_with_air,MLP,validation,1.0,acetone,2,1,1.0,0.5,0.6666666666666666
S2_train_I_internal_val_test_all,three_class_with_air,MLP,test,1.0,air,81,73,0.9315068493150684,0.8395061728395061,0.8831168831168831
S2_train_I_internal_val_test_all,three_class_with_air,MLP,test,1.0,alcohol,96,137,0.656934306569343,0.9375,0.7725321888412017
S2_train_I_internal_val_test_all,three_class_with_air,MLP,test,1.0,acetone,96,63,0.9365079365079365,0.6145833333333334,0.7421383647798742
S2_train_I_internal_val_test_all,three_class_with_air,MLP,train,2.0,air,6,6,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,MLP,train,2.0,alcohol,12,12,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,MLP,train,2.0,acetone,12,12,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,MLP,validation,2.0,air,1,3,0.3333333333333333,1.0,0.5
S2_train_I_internal_val_test_all,three_class_with_air,MLP,validation,2.0,alcohol,2,1,1.0,0.5,0.6666666666666666
S2_train_I_internal_val_test_all,three_class_with_air,MLP,validation,2.0,acetone,2,1,1.0,0.5,0.6666666666666666
S2_train_I_internal_val_test_all,three_class_with_air,MLP,test,2.0,air,81,85,0.788235294117647,0.8271604938271605,0.8072289156626506
S2_train_I_internal_val_test_all,three_class_with_air,MLP,test,2.0,alcohol,96,100,0.68,0.7083333333333334,0.6938775510204082
S2_train_I_internal_val_test_all,three_class_with_air,MLP,test,2.0,acetone,96,88,0.7386363636363636,0.6770833333333334,0.7065217391304348
S2_train_I_internal_val_test_all,three_class_with_air,MLP,train,3.0,air,6,6,1.0,1.0,1.0
