experiment,feature_dim,split,task,model,best_params,selection_method,train_n,validation_n,test_n,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,train_test_accuracy_gap,fit_assessment
shape_normalized,54,S2_train_I_internal_val_test_all,three_class_with_air,Logistic Regression,l2=0.001,validation_accuracy_macro_f1_balanced_accuracy,25,5,227,1.0,0.6,0.7929515418502202,1.0,0.6666666666666666,0.7912313432835821,1.0,0.6666666666666666,0.795354723442269,0.2070484581497798,Reasonable or mild shift
shape_normalized,54,S2_train_I_internal_val_test_all,three_class_with_air,kNN,k=1,validation_accuracy_macro_f1_balanced_accuracy,25,5,227,1.0,0.8,0.8458149779735683,1.0,0.8333333333333334,0.8291044776119403,1.0,0.8222222222222223,0.8255854663136217,0.1541850220264317,Reasonable or mild shift
shape_normalized,54,S2_train_I_internal_val_test_all,three_class_with_air,Random Forest,subspace_mult=1.5,validation_accuracy_macro_f1_balanced_accuracy,25,5,227,1.0,0.8,0.9383259911894273,1.0,0.8333333333333334,0.9311567164179104,1.0,0.8222222222222223,0.9345143800220886,0.06167400881057272,Reasonable or mild shift
shape_normalized,54,S2_train_I_internal_val_test_all,three_class_with_air,RBF LS-SVM,gamma_mult=0.5;c_value=10.0,validation_accuracy_macro_f1_balanced_accuracy,25,5,227,1.0,0.8,0.8590308370044053,1.0,0.8333333333333334,0.8488805970149254,1.0,0.8222222222222223,0.8546912183769816,0.1409691629955947,Reasonable or mild shift
shape_normalized,54,S2_train_I_internal_val_test_all,binary_without_air,LDA,shrinkage=0.01,validation_accuracy_macro_f1_balanced_accuracy,20,4,160,1.0,0.5,0.975,1.0,0.5,0.975,1.0,0.5,0.9749843652282677,0.025000000000000022,Reasonable or mild shift
shape_normalized,54,S2_train_I_internal_val_test_all,binary_without_air,Logistic Regression,l2=0.01,validation_accuracy_macro_f1_balanced_accuracy,20,4,160,1.0,0.75,0.80625,1.0,0.75,0.80625,1.0,0.7333333333333334,0.7986931287795771,0.19374999999999998,Reasonable or mild shift
shape_normalized,54,S2_train_I_internal_val_test_all,binary_without_air,kNN,k=1,validation_accuracy_macro_f1_balanced_accuracy,20,4,160,1.0,1.0,0.975,1.0,1.0,0.9750000000000001,1.0,1.0,0.9749960931395532,0.025000000000000022,Reasonable or mild shift
shape_normalized,54,S2_train_I_internal_val_test_all,binary_without_air,Random Forest,subspace_mult=1.5,validation_accuracy_macro_f1_balanced_accuracy,20,4,160,0.95,0.75,0.9875,0.95,0.75,0.9875,0.949874686716792,0.7333333333333334,0.9874980465697765,-0.03750000000000009,Reasonable or mild shift
shape_normalized,54,S2_train_I_internal_val_test_all,binary_without_air,RBF LS-SVM,gamma_mult=0.5;c_value=1.0,validation_accuracy_macro_f1_balanced_accuracy,20,4,160,1.0,0.75,0.9875,1.0,0.75,0.9875,1.0,0.7333333333333334,0.9874980465697765,0.012499999999999956,Reasonable or mild shift
shape_normalized,54,S3_train_I_val_D1_2,three_class_with_air,LDA,shrinkage=0.01,validation_accuracy_macro_f1_balanced_accuracy,30,28,199,1.0,1.0,0.9346733668341709,1.0,1.0,0.9292171105730428,1.0,1.0,0.9324164598139192,0.0653266331658291,Reasonable or mild shift
shape_normalized,54,S3_train_I_val_D1_2,three_class_with_air,Logistic Regression,l2=0.001,validation_accuracy_macro_f1_balanced_accuracy,30,28,199,1.0,0.9642857142857143,0.7487437185929648,1.0,0.9583333333333334,0.752138821630347,1.0,0.9619047619047619,0.7459103023619154,0.25125628140703515,Possible overfitting or domain shift
shape_normalized,54,S3_train_I_val_D1_2,three_class_with_air,kNN,k=3,validation_accuracy_macro_f1_balanced_accuracy,30,28,199,0.9333333333333333,0.9642857142857143,0.914572864321608,0.9444444444444445,0.9583333333333334,0.9048426150121065,0.9307226107226106,0.9619047619047619,0.9071700268474281,0.018760469011725345,Reasonable or mild shift
shape_normalized,54,S3_train_I_val_D1_2,three_class_with_air,Random Forest,subspace_mult=1.5,validation_accuracy_macro_f1_balanced_accuracy,30,28,199,0.8666666666666667,1.0,0.9396984924623115,0.8888888888888888,1.0,0.9348668280871671,0.8754578754578755,1.0,0.9379910023368613,-0.07303182579564482,Reasonable or mild shift
shape_normalized,54,S3_train_I_val_D1_2,three_class_with_air,RBF LS-SVM,gamma_mult=0.5;c_value=1.0,validation_accuracy_macro_f1_balanced_accuracy,30,28,199,1.0,1.0,0.914572864321608,1.0,1.0,0.9048426150121065,1.0,1.0,0.9080197166361209,0.085427135678392,Reasonable or mild shift
