variant,lambda,seed,best_epoch,train_n,source_n,target_calibration_n,validation_n,test_n,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,train_test_accuracy_gap,domain_discriminator_accuracy,domain_invariance_note,task
MLP source only,0.0,23,400,24,24,10,20,130,1.0,0.95,0.823076923076923,1.0,0.95,0.823076923076923,1.0,0.949874686716792,0.8206896551724138,0.17692307692307696,0.6470588235294118,closer_to_0.5_is_more_invariant,binary_without_air
MLP source + Day1,0.0,3,10,34,24,10,20,130,0.9117647058823529,1.0,0.7230769230769231,0.9117647058823529,1.0,0.7230769230769232,0.9110723626852659,1.0,0.7027439024390244,0.18868778280542986,0.38235294117647056,closer_to_0.5_is_more_invariant,binary_without_air
MLP source + Day1,0.0,7,60,34,24,10,20,130,0.9117647058823529,0.95,0.823076923076923,0.9117647058823529,0.95,0.823076923076923,0.9110723626852659,0.949874686716792,0.8183364724466857,0.08868778280542988,0.7058823529411765,closer_to_0.5_is_more_invariant,binary_without_air
MLP source + Day1,0.0,11,50,34,24,10,20,130,0.9117647058823529,1.0,0.8769230769230769,0.9117647058823529,1.0,0.8769230769230769,0.9110723626852659,1.0,0.8750300408555636,0.034841628959276005,0.5588235294117647,closer_to_0.5_is_more_invariant,binary_without_air
MLP source + Day1,0.0,17,40,34,24,10,20,130,0.9117647058823529,0.95,0.7615384615384615,0.9117647058823529,0.95,0.7615384615384615,0.9110723626852659,0.949874686716792,0.7471610515088776,0.15022624434389142,0.5294117647058824,closer_to_0.5_is_more_invariant,binary_without_air
MLP source + Day1,0.0,23,130,34,24,10,20,130,0.9117647058823529,0.9,0.8692307692307693,0.9117647058823529,0.9,0.8692307692307693,0.9116883116883117,0.898989898989899,0.8674662668665667,0.04253393665158367,0.6176470588235294,closer_to_0.5_is_more_invariant,binary_without_air
DANN-UDA,0.02,3,60,24,24,10,20,130,0.875,0.85,0.7692307692307693,0.875,0.85,0.7692307692307693,0.873015873015873,0.8465473145780051,0.7580044676098288,0.10576923076923073,0.9411764705882353,closer_to_0.5_is_more_invariant,binary_without_air
DANN-UDA,0.02,7,270,24,24,10,20,130,1.0,0.95,0.8153846153846154,1.0,0.95,0.8153846153846154,1.0,0.949874686716792,0.8109090909090908,0.18461538461538463,0.7941176470588235,closer_to_0.5_is_more_invariant,binary_without_air
DANN-UDA,0.02,11,60,24,24,10,20,130,0.9166666666666666,0.95,0.8692307692307693,0.9166666666666667,0.95,0.8692307692307693,0.916083916083916,0.949874686716792,0.8669556318102463,0.04743589743589738,0.7941176470588235,closer_to_0.5_is_more_invariant,binary_without_air
DANN-UDA,0.02,17,390,24,24,10,20,130,1.0,0.95,0.8307692307692308,1.0,0.95,0.8307692307692308,1.0,0.949874686716792,0.8266666666666667,0.16923076923076918,0.9117647058823529,closer_to_0.5_is_more_invariant,binary_without_air
DANN-UDA,0.02,23,420,24,24,10,20,130,1.0,0.95,0.8307692307692308,1.0,0.95,0.8307692307692307,1.0,0.949874686716792,0.8287835249042146,0.16923076923076918,0.9411764705882353,closer_to_0.5_is_more_invariant,binary_without_air
