Task,Split,Model,Final training,Best hyperparameters,Selection,Train n,Validation n,Test n,Train Acc,Val Acc,Test Acc,Train BA,Val BA,Test BA,Train Macro-F1,Val Macro-F1,Test Macro-F1,Train-Test Gap,Val-Test Gap,Judgment
Binary classification: alcohol / acetone only,Split 2: Period I holdout validation; train 25 / val 5 for three-class; test all Period II/III,LDA,train_val_refit,shrinkage=0.1,validation_accuracy_macro_f1_balanced_accuracy,24,4,160,1.0,1.0,0.63125,1.0,1.0,0.63125,1.0,1.0,0.5732175957321759,0.36875,0.36875,Overfitting/domain shift
Binary classification: alcohol / acetone only,Split 2: Period I holdout validation; train 25 / val 5 for three-class; test all Period II/III,Logistic Regression,train_val_refit,l2=0.001,validation_accuracy_macro_f1_balanced_accuracy,24,4,160,1.0,1.0,0.79375,1.0,1.0,0.79375,1.0,1.0,0.7867442142251303,0.20625,0.20625,Overfitting/domain shift
Binary classification: alcohol / acetone only,Split 2: Period I holdout validation; train 25 / val 5 for three-class; test all Period II/III,kNN,train_val_refit,k=3,validation_accuracy_macro_f1_balanced_accuracy,24,4,160,0.9166666666666666,1.0,0.64375,0.9166666666666666,1.0,0.64375,0.9166666666666666,1.0,0.6437360834407594,0.2729166666666666,0.3562499999999999,Overfitting/domain shift
Binary classification: alcohol / acetone only,Split 2: Period I holdout validation; train 25 / val 5 for three-class; test all Period II/III,Random Forest,train_val_refit,subspace=1.5,validation_accuracy_macro_f1_balanced_accuracy,24,4,160,0.8333333333333334,0.75,0.575,0.8333333333333333,0.75,0.575,0.8285714285714285,0.7333333333333334,0.5523370638578011,0.2583333333333334,0.175,Overfitting/domain shift
Binary classification: alcohol / acetone only,Split 2: Period I holdout validation; train 25 / val 5 for three-class; test all Period II/III,RBF LS-SVM,train_val_refit,gamma=0.5;C=100.0,validation_accuracy_macro_f1_balanced_accuracy,24,4,160,1.0,1.0,0.81875,1.0,1.0,0.81875,1.0,1.0,0.8142142142142142,0.18125,0.18125,Acceptable
Binary classification: alcohol / acetone only,Split 2: Period I holdout validation; train 25 / val 5 for three-class; test all Period II/III,MLP,train_val_refit,h=8;l2=0.001;lr=0.03,validation_accuracy_macro_f1_balanced_accuracy,24,4,160,1.0,1.0,0.875,1.0,1.0,0.875,1.0,1.0,0.8740355849472523,0.125,0.125,Best; Acceptable
Binary classification: alcohol / acetone only,Split 3: Period I holdout validation; train 20 / val 10 for three-class; test all Period II/III,LDA,train_val_refit,shrinkage=0.25,validation_accuracy_macro_f1_balanced_accuracy,24,8,160,0.9583333333333334,0.75,0.75625,0.9583333333333331,0.75,0.7562500000000001,0.9582608695652176,0.7333333333333334,0.7424786430605423,0.2020833333333334,-0.0062499999999999,Acceptable
Binary classification: alcohol / acetone only,Split 3: Period I holdout validation; train 20 / val 10 for three-class; test all Period II/III,Logistic Regression,train_val_refit,l2=0.001,validation_accuracy_macro_f1_balanced_accuracy,24,8,160,1.0,0.75,0.79375,1.0,0.75,0.79375,1.0,0.7333333333333334,0.7867442142251303,0.20625,-0.0437499999999999,Acceptable
Binary classification: alcohol / acetone only,Split 3: Period I holdout validation; train 20 / val 10 for three-class; test all Period II/III,kNN,train_val_refit,k=1,validation_accuracy_macro_f1_balanced_accuracy,24,8,160,1.0,0.75,0.59375,1.0,0.75,0.59375,1.0,0.7333333333333334,0.5891114535182331,0.40625,0.15625,Overfitting/domain shift
Binary classification: alcohol / acetone only,Split 3: Period I holdout validation; train 20 / val 10 for three-class; test all Period II/III,Random Forest,train_val_refit,subspace=1.5,validation_accuracy_macro_f1_balanced_accuracy,24,8,160,0.8333333333333334,0.75,0.575,0.8333333333333333,0.75,0.575,0.8285714285714285,0.7333333333333334,0.5523370638578011,0.2583333333333334,0.175,Overfitting/domain shift
Binary classification: alcohol / acetone only,Split 3: Period I holdout validation; train 20 / val 10 for three-class; test all Period II/III,RBF LS-SVM,train_val_refit,gamma=1.0;C=100.0,validation_accuracy_macro_f1_balanced_accuracy,24,8,160,1.0,0.875,0.84375,1.0,0.875,0.84375,1.0,0.873015873015873,0.8410111689653802,0.15625,0.03125,Best; Acceptable
Binary classification: alcohol / acetone only,Split 3: Period I holdout validation; train 20 / val 10 for three-class; test all Period II/III,MLP,train_val_refit,h=8;l2=0.001;lr=0.01,validation_accuracy_macro_f1_balanced_accuracy,24,8,160,1.0,0.75,0.79375,1.0,0.75,0.79375,1.0,0.7333333333333334,0.7933544675355173,0.20625,-0.0437499999999999,Acceptable
Binary classification: alcohol / acetone only,Split 4: Train Period I; validation Day1-2; test Day3-19,LDA,train_val_refit,shrinkage=0.1,validation_accuracy_macro_f1_balanced_accuracy,44,20,140,1.0,0.85,0.9,1.0,0.85,0.9,1.0,0.8465473145780051,0.8994871794871795,0.0999999999999999,-0.05,Acceptable
Binary classification: alcohol / acetone only,Split 4: Train Period I; validation Day1-2; test Day3-19,Logistic Regression,train_val_refit,l2=0.001,validation_accuracy_macro_f1_balanced_accuracy,44,20,140,1.0,0.95,0.9142857142857144,1.0,0.95,0.9142857142857144,1.0,0.949874686716792,0.9136513157894736,0.0857142857142857,0.0357142857142857,Best; Acceptable
Binary classification: alcohol / acetone only,Split 4: Train Period I; validation Day1-2; test Day3-19,kNN,train_val_refit,k=3,validation_accuracy_macro_f1_balanced_accuracy,44,20,140,0.9545454545454546,0.8,0.8142857142857143,0.9545454545454546,0.8,0.8142857142857143,0.9545454545454546,0.7916666666666665,0.8118279569892473,0.1402597402597403,-0.0142857142857142,Acceptable
Binary classification: alcohol / acetone only,Split 4: Train Period I; validation Day1-2; test Day3-19,Random Forest,train_val_refit,subspace=1.5,validation_accuracy_macro_f1_balanced_accuracy,44,20,140,0.8181818181818182,0.65,0.6,0.8181818181818181,0.65,0.6,0.8147368421052632,0.6419437340153452,0.5300887077439462,0.2181818181818182,0.05,Acceptable
Binary classification: alcohol / acetone only,Split 4: Train Period I; validation Day1-2; test Day3-19,RBF LS-SVM,train_val_refit,gamma=0.5;C=100.0,validation_accuracy_macro_f1_balanced_accuracy,44,20,140,1.0,1.0,0.9,1.0,1.0,0.9,1.0,1.0,0.8992598684210527,0.0999999999999999,0.0999999999999999,Acceptable
Binary classification: alcohol / acetone only,Split 4: Train Period I; validation Day1-2; test Day3-19,MLP,train_val_refit,h=8;l2=0.001;lr=0.03,validation_accuracy_macro_f1_balanced_accuracy,44,20,140,1.0,0.95,0.8928571428571429,1.0,0.95,0.8928571428571428,1.0,0.949874686716792,0.8916129032258064,0.1071428571428571,0.057142857142857,Acceptable
Binary classification: alcohol / acetone only,Split 5: Train Period I + Day1; validation Day2-3; test Day4-19,LDA,train_val_refit,shrinkage=0.25,validation_accuracy_macro_f1_balanced_accuracy,54,20,130,0.9629629629629628,0.95,0.9230769230769232,0.962962962962963,0.95,0.9230769230769232,0.9629120879120878,0.949874686716792,0.9229127134724856,0.0398860398860397,0.0269230769230768,Acceptable
Binary classification: alcohol / acetone only,Split 5: Train Period I + Day1; validation Day2-3; test Day4-19,Logistic Regression,train_val_refit,l2=0.05,validation_accuracy_macro_f1_balanced_accuracy,54,20,130,0.9814814814814816,0.95,0.9384615384615383,0.9814814814814814,0.95,0.9384615384615383,0.98147512864494,0.949874686716792,0.9382276075077216,0.043019943019943,0.0115384615384614,Best; Acceptable
Binary classification: alcohol / acetone only,Split 5: Train Period I + Day1; validation Day2-3; test Day4-19,kNN,train_val_refit,k=3,validation_accuracy_macro_f1_balanced_accuracy,54,20,130,0.9444444444444444,0.65,0.8384615384615385,0.9444444444444444,0.6499999999999999,0.8384615384615385,0.94442538593482,0.6491228070175439,0.8376835721505441,0.1059829059829059,-0.1884615384615384,Acceptable
