samples_per_class,repeat,model,accuracy,train_files,test_n
1,57,LDA,0.5,alcohol_o3.csv;acetone_o7.csv,14
1,57,Logistic Regression,0.5,alcohol_o3.csv;acetone_o7.csv,14
1,57,kNN,0.5,alcohol_o3.csv;acetone_o7.csv,14
1,57,Random Forest,0.5,alcohol_o3.csv;acetone_o7.csv,14
1,57,RBF LS-SVM,0.5,alcohol_o3.csv;acetone_o7.csv,14
1,58,LDA,0.5,alcohol_o8.csv;acetone_o5.csv,14
1,58,Logistic Regression,0.5,alcohol_o8.csv;acetone_o5.csv,14
1,58,kNN,0.5,alcohol_o8.csv;acetone_o5.csv,14
1,58,Random Forest,0.5,alcohol_o8.csv;acetone_o5.csv,14
1,58,RBF LS-SVM,0.5,alcohol_o8.csv;acetone_o5.csv,14
1,59,LDA,0.5,alcohol_o3.csv;acetone_o9.csv,14
1,59,Logistic Regression,0.5,alcohol_o3.csv;acetone_o9.csv,14
1,59,kNN,0.5,alcohol_o3.csv;acetone_o9.csv,14
1,59,Random Forest,0.5,alcohol_o3.csv;acetone_o9.csv,14
1,59,RBF LS-SVM,0.5,alcohol_o3.csv;acetone_o9.csv,14
1,60,LDA,0.5,alcohol_o6.csv;acetone_o12.csv,14
1,60,Logistic Regression,0.42857142857142855,alcohol_o6.csv;acetone_o12.csv,14
1,60,kNN,0.5,alcohol_o6.csv;acetone_o12.csv,14
1,60,Random Forest,0.5714285714285714,alcohol_o6.csv;acetone_o12.csv,14
1,60,RBF LS-SVM,0.42857142857142855,alcohol_o6.csv;acetone_o12.csv,14
1,61,LDA,0.5,alcohol_o9.csv;acetone_o9.csv,14
1,61,Logistic Regression,0.7142857142857143,alcohol_o9.csv;acetone_o9.csv,14
1,61,kNN,0.5,alcohol_o9.csv;acetone_o9.csv,14
1,61,Random Forest,0.7142857142857143,alcohol_o9.csv;acetone_o9.csv,14
1,61,RBF LS-SVM,0.6428571428571429,alcohol_o9.csv;acetone_o9.csv,14
1,62,LDA,0.5,alcohol_o11.csv;acetone_o8.csv,14
1,62,Logistic Regression,0.5,alcohol_o11.csv;acetone_o8.csv,14
1,62,kNN,0.5,alcohol_o11.csv;acetone_o8.csv,14
1,62,Random Forest,0.5,alcohol_o11.csv;acetone_o8.csv,14
1,62,RBF LS-SVM,0.5,alcohol_o11.csv;acetone_o8.csv,14
1,63,LDA,0.5,alcohol_o9.csv;acetone_o11.csv,14
1,63,Logistic Regression,0.5714285714285714,alcohol_o9.csv;acetone_o11.csv,14
1,63,kNN,0.5,alcohol_o9.csv;acetone_o11.csv,14
1,63,Random Forest,0.5,alcohol_o9.csv;acetone_o11.csv,14
1,63,RBF LS-SVM,0.5714285714285714,alcohol_o9.csv;acetone_o11.csv,14
1,64,LDA,0.5,alcohol_o4.csv;acetone_o9.csv,14
1,64,Logistic Regression,0.6428571428571429,alcohol_o4.csv;acetone_o9.csv,14
1,64,kNN,0.5,alcohol_o4.csv;acetone_o9.csv,14
1,64,Random Forest,0.7142857142857143,alcohol_o4.csv;acetone_o9.csv,14
1,64,RBF LS-SVM,0.6428571428571429,alcohol_o4.csv;acetone_o9.csv,14
1,65,LDA,0.5,alcohol_o7.csv;acetone_o10.csv,14
1,65,Logistic Regression,0.5,alcohol_o7.csv;acetone_o10.csv,14
1,65,kNN,0.5,alcohol_o7.csv;acetone_o10.csv,14
1,65,Random Forest,0.8571428571428571,alcohol_o7.csv;acetone_o10.csv,14
1,65,RBF LS-SVM,0.5,alcohol_o7.csv;acetone_o10.csv,14
1,66,LDA,0.5,alcohol_o2.csv;acetone_o10.csv,14
1,66,Logistic Regression,0.5,alcohol_o2.csv;acetone_o10.csv,14
1,66,kNN,0.5,alcohol_o2.csv;acetone_o10.csv,14
1,66,Random Forest,0.5,alcohol_o2.csv;acetone_o10.csv,14
1,66,RBF LS-SVM,0.5,alcohol_o2.csv;acetone_o10.csv,14
1,67,LDA,0.5,alcohol_o1.csv;acetone_o12.csv,14
1,67,Logistic Regression,0.5,alcohol_o1.csv;acetone_o12.csv,14
1,67,kNN,0.5,alcohol_o1.csv;acetone_o12.csv,14
1,67,Random Forest,0.5,alcohol_o1.csv;acetone_o12.csv,14
1,67,RBF LS-SVM,0.5,alcohol_o1.csv;acetone_o12.csv,14
1,68,LDA,0.5,alcohol_o9.csv;acetone_o2.csv,14
1,68,Logistic Regression,0.5,alcohol_o9.csv;acetone_o2.csv,14
1,68,kNN,0.5,alcohol_o9.csv;acetone_o2.csv,14
1,68,Random Forest,0.5,alcohol_o9.csv;acetone_o2.csv,14
1,68,RBF LS-SVM,0.5,alcohol_o9.csv;acetone_o2.csv,14
1,69,LDA,0.5,alcohol_o8.csv;acetone_o2.csv,14
1,69,Logistic Regression,0.5,alcohol_o8.csv;acetone_o2.csv,14
1,69,kNN,0.5,alcohol_o8.csv;acetone_o2.csv,14
1,69,Random Forest,0.5,alcohol_o8.csv;acetone_o2.csv,14
1,69,RBF LS-SVM,0.5,alcohol_o8.csv;acetone_o2.csv,14
1,70,LDA,0.5,alcohol_o1.csv;acetone_o12.csv,14
1,70,Logistic Regression,0.5,alcohol_o1.csv;acetone_o12.csv,14
1,70,kNN,0.5,alcohol_o1.csv;acetone_o12.csv,14
1,70,Random Forest,0.5,alcohol_o1.csv;acetone_o12.csv,14
1,70,RBF LS-SVM,0.5,alcohol_o1.csv;acetone_o12.csv,14
1,71,LDA,0.5,alcohol_o4.csv;acetone_o2.csv,14
1,71,Logistic Regression,0.2857142857142857,alcohol_o4.csv;acetone_o2.csv,14
1,71,kNN,0.5,alcohol_o4.csv;acetone_o2.csv,14
