architecture,split,variant,probe_variant,method,mode,seed,best_epoch,alignment_strength,centroid_strength,adversarial_strength,final_training,label_usage,latent_dimension,logistic_params,neural_test_accuracy,lr_train_accuracy,lr_test_accuracy,lr_test_balanced_accuracy,lr_test_macro_f1,lr_minus_neural_accuracy
one-layer,S2_train_I_internal_val_test_all,CDAN-UDA,Frozen CDAN-UDA features + Logistic Regression,cdan,uda,4,400,0.5,0.0,0.0,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8278388278388278,1.0,0.8095238095238095,0.809156378600823,0.8153215400525622,-0.01831501831501825
one-layer,S3_train_I_internal_20_10_test_all,CDAN-UDA,Frozen CDAN-UDA features + Logistic Regression,cdan,uda,0,10,0.5,0.0,0.0,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.6593406593406593,0.9,0.7289377289377289,0.7359825102880658,0.7411960264860191,0.06959706959706957
one-layer,S3_train_I_internal_20_10_test_all,CDAN-UDA,Frozen CDAN-UDA features + Logistic Regression,cdan,uda,1,10,0.5,0.0,0.0,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.7142857142857143,0.9,0.7545787545787546,0.7628600823045267,0.7674339039305281,0.04029304029304026
one-layer,S3_train_I_internal_20_10_test_all,CDAN-UDA,Frozen CDAN-UDA features + Logistic Regression,cdan,uda,2,10,0.5,0.0,0.0,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.673992673992674,0.9333333333333333,0.8461538461538461,0.849022633744856,0.8537279291838958,0.1721611721611721
one-layer,S3_train_I_internal_20_10_test_all,CDAN-UDA,Frozen CDAN-UDA features + Logistic Regression,cdan,uda,3,20,0.5,0.0,0.0,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.6153846153846154,0.9666666666666667,0.7142857142857143,0.7195216049382717,0.7253646085053447,0.09890109890109888
one-layer,S3_train_I_internal_20_10_test_all,CDAN-UDA,Frozen CDAN-UDA features + Logistic Regression,cdan,uda,4,250,0.5,0.0,0.0,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8241758241758241,1.0,0.8424908424908425,0.8397633744855968,0.846775482058915,0.01831501831501836
one-layer,S4_train_I_val_D1_2,CDAN-SEMI,Frozen CDAN-SEMI features + Logistic Regression,cdan,semi,0,110,0.2,0.0,0.0,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8816326530612245,1.0,0.8816326530612245,0.884145693957736,0.8813228088769884,0.0
one-layer,S4_train_I_val_D1_2,CDAN-SEMI,Frozen CDAN-SEMI features + Logistic Regression,cdan,semi,1,90,0.2,0.0,0.0,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8693877551020408,1.0,0.8571428571428571,0.8608898800042476,0.857036030492599,-0.01224489795918371
one-layer,S4_train_I_val_D1_2,CDAN-SEMI,Frozen CDAN-SEMI features + Logistic Regression,cdan,semi,2,330,0.2,0.0,0.0,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8775510204081632,1.0,0.9061224489795918,0.9060210258043964,0.9083189153340299,0.02857142857142858
one-layer,S4_train_I_val_D1_2,CDAN-SEMI,Frozen CDAN-SEMI features + Logistic Regression,cdan,semi,3,110,0.2,0.0,0.0,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8571428571428571,1.0,0.8857142857142857,0.8880216629499841,0.8857595360906619,0.02857142857142858
one-layer,S4_train_I_val_D1_2,CDAN-SEMI,Frozen CDAN-SEMI features + Logistic Regression,cdan,semi,4,180,0.2,0.0,0.0,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8816326530612245,1.0,0.889795918367347,0.891897631942232,0.8907288912921573,0.008163265306122436
