[258/330] train ('two-layer', 'S6_train_I_D1_2_val_D3_5', 'DEEP-CORAL-SEMI', 2)
[259/330] train ('two-layer', 'S6_train_I_D1_2_val_D3_5', 'DEEP-CORAL-SEMI', 3)
[260/330] train ('two-layer', 'S6_train_I_D1_2_val_D3_5', 'DEEP-CORAL-SEMI', 4)
[261/330] train ('two-layer', 'S6_train_I_D1_2_val_D3_5', 'DEEP-CORAL-UDA', 0)
[262/330] train ('two-layer', 'S6_train_I_D1_2_val_D3_5', 'DEEP-CORAL-UDA', 1)
[263/330] train ('two-layer', 'S6_train_I_D1_2_val_D3_5', 'DEEP-CORAL-UDA', 2)
[264/330] train ('two-layer', 'S6_train_I_D1_2_val_D3_5', 'DEEP-CORAL-UDA', 3)
[265/330] train ('two-layer', 'S6_train_I_D1_2_val_D3_5', 'DEEP-CORAL-UDA', 4)
[266/330] train ('two-layer', 'S7_train_I_D1_3_val_D4_5', 'DEEP-CORAL-SEMI', 0)
[267/330] train ('two-layer', 'S7_train_I_D1_3_val_D4_5', 'DEEP-CORAL-SEMI', 1)
[268/330] train ('two-layer', 'S7_train_I_D1_3_val_D4_5', 'DEEP-CORAL-SEMI', 2)
[269/330] train ('two-layer', 'S7_train_I_D1_3_val_D4_5', 'DEEP-CORAL-SEMI', 3)
[270/330] train ('two-layer', 'S7_train_I_D1_3_val_D4_5', 'DEEP-CORAL-SEMI', 4)
[271/330] train ('two-layer', 'S7_train_I_D1_3_val_D4_5', 'DEEP-CORAL-UDA', 0)
[272/330] train ('two-layer', 'S7_train_I_D1_3_val_D4_5', 'DEEP-CORAL-UDA', 1)
[273/330] train ('two-layer', 'S7_train_I_D1_3_val_D4_5', 'DEEP-CORAL-UDA', 2)
[274/330] train ('two-layer', 'S7_train_I_D1_3_val_D4_5', 'DEEP-CORAL-UDA', 3)
[275/330] train ('two-layer', 'S7_train_I_D1_3_val_D4_5', 'DEEP-CORAL-UDA', 4)
[276/330] train ('two-layer', 'S1_train_I_test_all', 'MK-MMD-UDA', 0)
[277/330] train ('two-layer', 'S1_train_I_test_all', 'MK-MMD-UDA', 1)
[278/330] train ('two-layer', 'S1_train_I_test_all', 'MK-MMD-UDA', 2)
[279/330] train ('two-layer', 'S1_train_I_test_all', 'MK-MMD-UDA', 3)
[280/330] train ('two-layer', 'S1_train_I_test_all', 'MK-MMD-UDA', 4)
[281/330] train ('two-layer', 'S2_train_I_internal_val_test_all', 'MK-MMD-UDA', 0)
[282/330] train ('two-layer', 'S2_train_I_internal_val_test_all', 'MK-MMD-UDA', 1)
[283/330] train ('two-layer', 'S2_train_I_internal_val_test_all', 'MK-MMD-UDA', 2)
[284/330] train ('two-layer', 'S2_train_I_internal_val_test_all', 'MK-MMD-UDA', 3)
[285/330] train ('two-layer', 'S2_train_I_internal_val_test_all', 'MK-MMD-UDA', 4)
