architecture,split,variant,probe_variant,method,mode,seed,best_epoch,alignment_strength,centroid_strength,adversarial_strength,final_training,label_usage,latent_dimension,logistic_params,neural_test_accuracy,lr_train_accuracy,lr_test_accuracy,lr_test_balanced_accuracy,lr_test_macro_f1,lr_minus_neural_accuracy
two-layer,S1_train_I_test_all,CDAN-UDA,Frozen CDAN-UDA features + Logistic Regression,cdan,uda,4,400,0.2,0.0,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.7692307692307693,1.0,0.8058608058608059,0.8056841563786009,0.8054586475698179,0.03663003663003661
two-layer,S2_train_I_internal_val_test_all,CDAN-UDA,Frozen CDAN-UDA features + Logistic Regression,cdan,uda,0,340,0.05,0.0,0.0,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.7655677655677655,1.0,0.7509157509157509,0.7555298353909464,0.7571280677038129,-0.0146520146520146
two-layer,S2_train_I_internal_val_test_all,CDAN-UDA,Frozen CDAN-UDA features + Logistic Regression,cdan,uda,1,380,0.05,0.0,0.0,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.6996336996336996,1.0,0.7142857142857143,0.7169495884773663,0.7169893705189034,0.014652014652014711
two-layer,S2_train_I_internal_val_test_all,CDAN-UDA,Frozen CDAN-UDA features + Logistic Regression,cdan,uda,2,380,0.05,0.0,0.0,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.7765567765567766,1.0,0.7802197802197802,0.7839506172839507,0.7848913983726651,0.00366300366300365
two-layer,S2_train_I_internal_val_test_all,CDAN-UDA,Frozen CDAN-UDA features + Logistic Regression,cdan,uda,3,290,0.05,0.0,0.0,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8205128205128205,1.0,0.8168498168498168,0.8154578189300411,0.8195577701650577,-0.00366300366300365
two-layer,S2_train_I_internal_val_test_all,CDAN-UDA,Frozen CDAN-UDA features + Logistic Regression,cdan,uda,4,320,0.05,0.0,0.0,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.7619047619047619,1.0,0.7728937728937729,0.7744341563786009,0.7785498705088559,0.010989010989011061
two-layer,S3_train_I_internal_20_10_test_all,CDAN-UDA,Frozen CDAN-UDA features + Logistic Regression,cdan,uda,0,20,0.2,0.0,0.0,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.73992673992674,1.0,0.7289377289377289,0.7346965020576132,0.7436551243186313,-0.010989010989011061
two-layer,S3_train_I_internal_20_10_test_all,CDAN-UDA,Frozen CDAN-UDA features + Logistic Regression,cdan,uda,1,20,0.2,0.0,0.0,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.7362637362637363,1.0,0.7692307692307693,0.7728909465020576,0.7787887582147116,0.03296703296703296
two-layer,S3_train_I_internal_20_10_test_all,CDAN-UDA,Frozen CDAN-UDA features + Logistic Regression,cdan,uda,2,360,0.2,0.0,0.0,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8021978021978022,1.0,0.8021978021978022,0.8028549382716049,0.8079920356663637,0.0
two-layer,S3_train_I_internal_20_10_test_all,CDAN-UDA,Frozen CDAN-UDA features + Logistic Regression,cdan,uda,3,10,0.2,0.0,0.0,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.6556776556776557,0.9333333333333333,0.6959706959706959,0.7053755144032922,0.7143456203212644,0.04029304029304026
two-layer,S3_train_I_internal_20_10_test_all,CDAN-UDA,Frozen CDAN-UDA features + Logistic Regression,cdan,uda,4,20,0.2,0.0,0.0,source train+source validation refit,source train + source validation labels,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.7106227106227107,1.0,0.7216117216117216,0.7277520576131687,0.7345983177244748,0.01098901098901095
two-layer,S4_train_I_val_D1_2,CDAN-SEMI,Frozen CDAN-SEMI features + Logistic Regression,cdan,semi,0,350,0.05,0.0,0.0,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8653061224489796,1.0,0.8571428571428571,0.8608898800042476,0.8541636975741113,-0.008163265306122547
two-layer,S4_train_I_val_D1_2,CDAN-SEMI,Frozen CDAN-SEMI features + Logistic Regression,cdan,semi,1,390,0.05,0.0,0.0,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8571428571428571,1.0,0.8530612244897959,0.8570139110119995,0.8504086578826408,-0.004081632653061162
two-layer,S4_train_I_val_D1_2,CDAN-SEMI,Frozen CDAN-SEMI features + Logistic Regression,cdan,semi,2,280,0.05,0.0,0.0,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8693877551020408,1.0,0.8857142857142857,0.8880216629499841,0.8853903533537402,0.01632653061224487
two-layer,S4_train_I_val_D1_2,CDAN-SEMI,Frozen CDAN-SEMI features + Logistic Regression,cdan,semi,3,360,0.05,0.0,0.0,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8693877551020408,1.0,0.8857142857142857,0.886641180843156,0.886685283182846,0.01632653061224487
two-layer,S4_train_I_val_D1_2,CDAN-SEMI,Frozen CDAN-SEMI features + Logistic Regression,cdan,semi,4,220,0.05,0.0,0.0,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8775510204081632,1.0,0.8612244897959184,0.8647658489964957,0.8600328722092865,-0.01632653061224487
