feature_set,split,method,representation,classifier_strategy,seed_count,seeds,train_accuracy,train_accuracy_min,train_accuracy_max,train_accuracy_std,test_accuracy,test_accuracy_min,test_accuracy_max,test_accuracy_std,test_balanced_accuracy,test_balanced_accuracy_min,test_balanced_accuracy_max,test_balanced_accuracy_std,test_macro_f1,test_macro_f1_min,test_macro_f1_max,test_macro_f1_std
54D,S6_train_I_D1_2_val_D3_5,dann,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",0.9959183673469388,0.979591836734694,1.0,0.009126808071427673,0.9512195121951219,0.9365853658536586,0.975609756097561,0.01503515610480235,0.9499515612191669,0.935986288098964,0.9747373127654818,0.015158114269695305,0.9512563868874853,0.9369281123322284,0.9757701454565564,0.015178440313172439
54D,S6_train_I_D1_2_val_D3_5,deep-coral,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.9580487804878048,0.951219512195122,0.9707317073170731,0.009509067653472085,0.9578359043147774,0.9506669647514716,0.9706386466949848,0.009922855438912385,0.9588759127220747,0.9514662377437896,0.9714483066516728,0.009570135375407168
54D,S6_train_I_D1_2_val_D3_5,mk-mmd,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.9502439024390243,0.946341463414634,0.951219512195122,0.0021815297341462375,0.9492510619271182,0.9453759594604664,0.9512631343617258,0.002261568061031924,0.9507924758845533,0.94700764858462,0.9520814534697212,0.0021402985415783444
54D,S6_train_I_D1_2_val_D3_5,source-only,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.9639024390243902,0.9317073170731708,0.975609756097561,0.018446507708477073,0.964065876741933,0.931291452418213,0.97592965198599,0.01877885478022863,0.9648363547017063,0.9330618950676812,0.9763336291038156,0.018195640179325425
54D,S7_train_I_D1_3_val_D4_5,c-dann,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.9463414634146343,0.926829268292683,0.9707317073170731,0.01654226825152502,0.945614427304568,0.9260004471272076,0.9712348163052388,0.01698800642719596,0.9473831978498106,0.9282453325515526,0.9716543696981652,0.01637080905539423
54D,S7_train_I_D1_3_val_D4_5,cdan,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",0.9938775510204081,0.9693877551020408,1.0,0.013690212107141584,0.9414634146341463,0.9219512195121952,0.9658536585365852,0.02040634211058716,0.9408003577017661,0.9213056114464564,0.9653476414039792,0.020898155211425816,0.9422491228201986,0.92251602767149,0.966548127693124,0.02040789682537953
54D,S7_train_I_D1_3_val_D4_5,cdan+c-dann,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.9502439024390243,0.9365853658536586,0.9658536585365852,0.014795854524978546,0.9498472315373722,0.935986288098964,0.9653476414039792,0.014693721524068502,0.951153889491587,0.9379194475471752,0.966246335932747,0.014196529093950912
54D,S7_train_I_D1_3_val_D4_5,dann,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",0.9959183673469388,0.979591836734694,1.0,0.009126808071427673,0.9453658536585365,0.926829268292683,0.9609756097560976,0.013536036024889342,0.943960056636113,0.9248081079066997,0.960056636112974,0.01390504511982516,0.9459726687643999,0.9282700455682572,0.9612376018763104,0.013199175184321751
54D,S7_train_I_D1_3_val_D4_5,deep-coral,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",0.9979591836734694,0.9897959183673468,1.0,0.004563404035713911,0.9619512195121951,0.9414634146341464,0.9853658536585366,0.019934455357758604,0.961234071093226,0.9394887845592071,0.9853193233474924,0.02070572616914111,0.9622694555836351,0.9411707482130016,0.9856748768472906,0.02013365057763793
54D,S7_train_I_D1_3_val_D4_5,mk-mmd,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.9521951219512195,0.9317073170731708,0.9804878048780488,0.019328402688935514,0.9511289961994187,0.9306952828079588,0.9806244876667412,0.01973386980754655,0.9523961507787494,0.9324128745884868,0.9806878306878308,0.0191444580758392
54D,S7_train_I_D1_3_val_D4_5,source-only,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.9590243902439024,0.946341463414634,0.975609756097561,0.011230111642167192,0.9590133392950293,0.9459721290707206,0.97592965198599,0.011582354473460494,0.9600875185906551,0.947756847374648,0.9763336291038156,0.010971791983759242
48D,S1_train_I_test_all,mk-mmd+c-dann,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.7428571428571428,0.6703296703296703,0.7802197802197802,0.04352659568501964,0.7364454732510288,0.6624228395061729,0.7749485596707819,0.04429141915460853,0.7423422172912435,0.6713566936208446,0.7822613894042466,0.04303380071329926
48D,S1_train_I_test_all,mk-mmd+cdan,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.7113553113553113,0.652014652014652,0.7435897435897436,0.04344946183797425,0.7049125514403292,0.6469907407407408,0.7395833333333334,0.04251123855597648,0.7116843833797157,0.6550685563402685,0.7464922514534601,0.04321177689885589
48D,S1_train_I_test_all,mk-mmd+cdan+c-dann,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.7545787545787546,0.6923076923076923,0.8717948717948718,0.07224572499383158,0.7483281893004116,0.6922582304526749,0.8630401234567903,0.07006868684588093,0.7527295389071817,0.6939435385101042,0.8678005522042219,0.07073002109984777
48D,S2_train_I_internal_val_test_all,mk-mmd+c-dann,bottleneck16,posthoc-sklearn-lr-on-frozen-mlp-representation,5,"0,1,2,3,4",0.9866666666666667,0.9666666666666667,1.0,0.018257418583505533,0.7201465201465201,0.6263736263736264,0.7692307692307693,0.05760357150420086,0.7095164609053497,0.6181841563786007,0.7578446502057613,0.05618505054647087,0.713560100427904,0.6187620311782762,0.7644833820052844,0.0574888406384319
