architecture,split,variant,method,mode,seed,selected_C,selection_status,best_epoch,final_training,label_usage,neural_test_accuracy,lr_train_accuracy,lr_test_accuracy,lr_test_balanced_accuracy,lr_test_macro_f1,lr_minus_neural_accuracy
one-layer,S4_train_I_val_D1_2,DANN-SEMI,dann,semi,2,10.0,validation-selected C,210,Source+Target refit,source + labeled target,0.8816326530612245,1.0,0.9102040816326531,0.9112774769034724,0.9118783630460913,0.02857142857142858
one-layer,S4_train_I_val_D1_2,DANN-SEMI,dann,semi,3,10.0,validation-selected C,130,Source+Target refit,source + labeled target,0.8775510204081632,1.0,0.9061224489795918,0.9074015079112243,0.9077559336607613,0.02857142857142858
one-layer,S4_train_I_val_D1_2,DANN-SEMI,dann,semi,4,10.0,validation-selected C,90,Source+Target refit,source + labeled target,0.8693877551020408,1.0,0.8693877551020408,0.8725177869809918,0.8709478078936207,0.0
one-layer,S4_train_I_val_D1_2,DEEP-CORAL-UDA,deep-coral,uda,0,1.0,fixed C=1; no admissible validation labels,400,source-only; no refit,source labels only,0.8204081632653061,1.0,0.8571428571428571,0.8553679515769353,0.8590921238098731,0.03673469387755102
one-layer,S4_train_I_val_D1_2,DEEP-CORAL-UDA,deep-coral,uda,1,1.0,fixed C=1; no admissible validation labels,400,source-only; no refit,source labels only,0.8081632653061225,1.0,0.8204081632653061,0.8197939895932888,0.8192986378700664,0.012244897959183598
one-layer,S4_train_I_val_D1_2,DEEP-CORAL-UDA,deep-coral,uda,2,1.0,fixed C=1; no admissible validation labels,400,source-only; no refit,source labels only,0.8653061224489796,1.0,0.8775510204081632,0.8747477965381756,0.8790056162786496,0.012244897959183598
one-layer,S4_train_I_val_D1_2,DEEP-CORAL-UDA,deep-coral,uda,3,1.0,fixed C=1; no admissible validation labels,400,source-only; no refit,source labels only,0.8040816326530612,1.0,0.8367346938775511,0.835297865562281,0.8395583269944548,0.032653061224489854
one-layer,S4_train_I_val_D1_2,DEEP-CORAL-UDA,deep-coral,uda,4,1.0,fixed C=1; no admissible validation labels,400,source-only; no refit,source labels only,0.8530612244897959,1.0,0.8734693877551021,0.8701815864925136,0.8747932259609542,0.020408163265306145
one-layer,S4_train_I_val_D1_2,DEEP-CORAL-SEMI,deep-coral,semi,0,0.1,validation-selected C,200,Source+Target refit,source + labeled target,0.889795918367347,1.0,0.9020408163265307,0.9035255389189762,0.9039720517680322,0.01224489795918371
one-layer,S4_train_I_val_D1_2,DEEP-CORAL-SEMI,deep-coral,semi,1,0.1,validation-selected C,270,Source+Target refit,source + labeled target,0.8816326530612245,1.0,0.8938775510204081,0.8957736009344801,0.8951520416483231,0.012244897959183598
one-layer,S4_train_I_val_D1_2,DEEP-CORAL-SEMI,deep-coral,semi,2,0.1,validation-selected C,210,Source+Target refit,source + labeled target,0.8816326530612245,1.0,0.9020408163265307,0.9035255389189762,0.9039720517680322,0.020408163265306145
one-layer,S4_train_I_val_D1_2,DEEP-CORAL-SEMI,deep-coral,semi,3,0.1,validation-selected C,130,Source+Target refit,source + labeled target,0.8734693877551021,1.0,0.8857142857142857,0.888021662949984,0.8856345748786582,0.012244897959183598
one-layer,S4_train_I_val_D1_2,DEEP-CORAL-SEMI,deep-coral,semi,4,0.1,validation-selected C,350,Source+Target refit,source + labeled target,0.8857142857142857,1.0,0.8857142857142857,0.8873314218965701,0.8873691244147023,0.0
one-layer,S4_train_I_val_D1_2,MK-MMD-UDA,mk-mmd,uda,0,1.0,fixed C=1; no admissible validation labels,400,source-only; no refit,source labels only,0.8693877551020408,1.0,0.8816326530612245,0.8779335244770098,0.8838214270190435,0.01224489795918371
one-layer,S4_train_I_val_D1_2,MK-MMD-UDA,mk-mmd,uda,1,1.0,fixed C=1; no admissible validation labels,400,source-only; no refit,source labels only,0.8612244897959184,1.0,0.8857142857142857,0.8824997345226717,0.8872987350076298,0.024489795918367308
one-layer,S4_train_I_val_D1_2,MK-MMD-UDA,mk-mmd,uda,2,1.0,fixed C=1; no admissible validation labels,400,source-only; no refit,source labels only,0.8653061224489796,1.0,0.9061224489795918,0.9018795794839121,0.9066544816567568,0.04081632653061218
one-layer,S4_train_I_val_D1_2,MK-MMD-UDA,mk-mmd,uda,3,1.0,fixed C=1; no admissible validation labels,400,source-only; no refit,source labels only,0.8448979591836735,1.0,0.889795918367347,0.8863757035149198,0.8910612535612535,0.04489795918367345
one-layer,S4_train_I_val_D1_2,MK-MMD-UDA,mk-mmd,uda,4,1.0,fixed C=1; no admissible validation labels,400,source-only; no refit,source labels only,0.8653061224489796,1.0,0.8857142857142857,0.8818094934692576,0.8868146512336277,0.020408163265306034
one-layer,S4_train_I_val_D1_2,MK-MMD-SEMI,mk-mmd,semi,0,0.1,validation-selected C,160,Source+Target refit,source + labeled target,0.9346938775510204,1.0,0.9346938775510204,0.9338430498035469,0.9360993063639663,0.0
one-layer,S4_train_I_val_D1_2,MK-MMD-SEMI,mk-mmd,semi,1,0.1,validation-selected C,290,Source+Target refit,source + labeled target,0.9428571428571428,1.0,0.926530612244898,0.9260911118190508,0.9284571483153043,-0.01632653061224487
one-layer,S4_train_I_val_D1_2,MK-MMD-SEMI,mk-mmd,semi,2,0.1,validation-selected C,210,Source+Target refit,source + labeled target,0.9346938775510204,1.0,0.9387755102040817,0.9384092598492089,0.9402279708651342,0.004081632653061273
one-layer,S4_train_I_val_D1_2,MK-MMD-SEMI,mk-mmd,semi,3,0.1,validation-selected C,40,Source+Target refit,source + labeled target,0.8938775510204081,0.9827586206896551,0.9061224489795918,0.9074015079112244,0.9057467860932218,0.01224489795918371
one-layer,S4_train_I_val_D1_2,MK-MMD-SEMI,mk-mmd,semi,4,0.1,validation-selected C,380,Source+Target refit,source + labeled target,0.9346938775510204,1.0,0.9346938775510204,0.9331528087501327,0.9358095050624823,0.0
one-layer,S5_train_I_D1_val_D2_3,MLP Source-only,source-only,uda,0,1.0,fixed C=1; no admissible validation labels,400,source-only; no refit,source labels only,0.7878787878787878,1.0,0.7965367965367965,0.7979960636965467,0.7987021198949266,0.008658008658008698
one-layer,S5_train_I_D1_val_D2_3,MLP Source-only,source-only,uda,1,1.0,fixed C=1; no admissible validation labels,400,source-only; no refit,source labels only,0.7965367965367965,1.0,0.8138528138528138,0.8137412775093935,0.8153781591575858,0.017316017316017285
one-layer,S5_train_I_D1_val_D2_3,MLP Source-only,source-only,uda,2,1.0,fixed C=1; no admissible validation labels,400,source-only; no refit,source labels only,0.8095238095238095,1.0,0.8268398268398268,0.8268026480586866,0.8278848265261308,0.017316017316017285
one-layer,S5_train_I_D1_val_D2_3,MLP Source-only,source-only,uda,3,1.0,fixed C=1; no admissible validation labels,400,source-only; no refit,source labels only,0.7965367965367965,1.0,0.8051948051948052,0.8055108248344963,0.8098540892985593,0.008658008658008698
one-layer,S5_train_I_D1_val_D2_3,MLP Source-only,source-only,uda,4,1.0,fixed C=1; no admissible validation labels,400,source-only; no refit,source labels only,0.7965367965367965,1.0,0.8181818181818182,0.8185721953837896,0.8207420052869875,0.02164502164502169
one-layer,S5_train_I_D1_val_D2_3,MLP Source+Target,source-only,semi,0,0.1,validation-selected C,190,Source+Target refit,source + labeled target,0.8787878787878788,1.0,0.8961038961038961,0.8976561102164967,0.8979001541186663,0.017316017316017285
one-layer,S5_train_I_D1_val_D2_3,MLP Source+Target,source-only,semi,1,0.1,validation-selected C,20,Source+Target refit,source + labeled target,0.8961038961038961,0.9583333333333334,0.8787878787878788,0.8804795133297549,0.880112358791873,-0.017316017316017285
one-layer,S5_train_I_D1_val_D2_3,MLP Source+Target,source-only,semi,2,0.1,validation-selected C,290,Source+Target refit,source + labeled target,0.8831168831168831,1.0,0.9004329004329005,0.9017713365539453,0.9029461258225858,0.017316017316017396
one-layer,S5_train_I_D1_val_D2_3,MLP Source+Target,source-only,semi,3,0.1,validation-selected C,40,Source+Target refit,source + labeled target,0.8787878787878788,1.0,0.8917748917748918,0.8928251923421006,0.8932863105156672,0.012987012987012991
one-layer,S5_train_I_D1_val_D2_3,MLP Source+Target,source-only,semi,4,0.1,validation-selected C,120,Source+Target refit,source + labeled target,0.8787878787878788,1.0,0.8961038961038961,0.8976561102164967,0.8965655744421058,0.017316017316017285
