sample_id,nominal_duration_s,profile,baseline_start_s,baseline_end_s,exposure_start_s,exposure_end_s,recovery_start_s,recovery_end_s,actual_last_s,baseline_n,exposure_n,recovery_n,observation_n
acetone_38,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.947,237,237,237,711
acetone_39,130.0,programme_130,0.0,60.0,60.0,70.0,70.0,131.735,131.735,237,40,244,521
acetone_40,130.0,programme_130,0.0,60.0,60.0,70.0,70.0,131.998,131.998,237,40,245,522
acetone_41,130.0,programme_130,0.0,60.0,60.0,70.0,70.0,131.999,131.999,237,40,245,522
acetone_42,130.0,programme_130,0.0,60.0,60.0,70.0,70.0,132.025,132.025,237,40,245,522
acetone_43,130.0,programme_130,0.0,60.0,60.0,70.0,70.0,132.024,132.024,237,40,245,522
acetone_44,130.0,programme_130,0.0,60.0,60.0,70.0,70.0,131.761,131.761,237,40,244,521
acetone_45,130.0,programme_130,0.0,60.0,60.0,70.0,70.0,132.013,132.013,237,40,245,522
acetone_46,130.0,programme_130,0.0,60.0,60.0,70.0,70.0,132.025,132.025,237,40,245,522
acetone_47,130.0,programme_130,0.0,60.0,60.0,70.0,70.0,132.025,132.025,237,40,245,522
acetone_48,125.0,programme_125,0.0,60.0,60.0,65.0,65.0,126.945,126.945,237,20,245,502
acetone_49,125.0,programme_125,0.0,60.0,60.0,65.0,65.0,126.945,126.945,237,20,245,502
acetone_50,125.0,programme_125,0.0,60.0,60.0,65.0,65.0,126.946,126.946,237,20,245,502
