feature_set,split,model,group,accuracy,balanced_accuracy,macro_f1
48D,S4,DANN,domain adaptation,0.8587755102040816,0.8563661463311032,0.8585080901710495
48D,S4,Deep CORAL,domain adaptation,0.889795918367347,0.8874800892003822,0.8903211670807558
48D,S4,MK-MMD,domain adaptation,0.8906122448979593,0.8872889455240521,0.889871925454908
48D,S4,CDAN,domain adaptation,0.8685714285714287,0.8673250504406924,0.8699446799518175
48D,S5,LR,classical ML,0.9523809523809524,0.9525854356772232,0.9540819702669412
48D,S5,sklearn MLP,classical ML,0.8727272727272727,0.8721417069243156,0.8752107849745606
48D,S5,No-DA NN,neural baseline,0.8623376623376624,0.8654142064770083,0.8632791218048486
48D,S5,DANN,domain adaptation,0.8805194805194805,0.8819824655573447,0.8820255100215277
48D,S5,Deep CORAL,domain adaptation,0.9238095238095236,0.9237072821613884,0.9247351973639923
48D,S5,MK-MMD,domain adaptation,0.8961038961038963,0.8947933440687063,0.8979416152835593
48D,S5,CDAN,domain adaptation,0.90995670995671,0.9109679728037215,0.9117366866556578
48D,S6,LR,classical ML,0.9609756097560976,0.9618451449437364,0.96176508883444
48D,S6,sklearn MLP,classical ML,0.9375609756097564,0.9356136820925556,0.93789665981486
48D,S6,No-DA NN,neural baseline,0.9102439024390244,0.9107534093449589,0.911570969273526
48D,S6,DANN,domain adaptation,0.9395121951219512,0.9395185930397196,0.9405027279621476
48D,S6,Deep CORAL,domain adaptation,0.9239024390243904,0.9213950368879946,0.9239435639353568
48D,S6,MK-MMD,domain adaptation,0.9317073170731708,0.930099113197705,0.9319906548595056
48D,S6,CDAN,domain adaptation,0.9170731707317072,0.9151799687010956,0.9175143093004582
48D,S7,LR,classical ML,0.9804878048780488,0.9812206572769954,0.9812057441598836
48D,S7,sklearn MLP,classical ML,0.9375609756097564,0.9356136820925556,0.93789665981486
48D,S7,No-DA NN,neural baseline,0.918048780487805,0.9176689768239064,0.9189905226324638
48D,S7,DANN,domain adaptation,0.96,0.959713838587078,0.9602903835267548
48D,S7,Deep CORAL,domain adaptation,0.9541463414634146,0.9541992696922276,0.9548342701875808
48D,S7,MK-MMD,domain adaptation,0.9395121951219512,0.939399359117669,0.94000172625805
48D,S7,CDAN,domain adaptation,0.944390243902439,0.942782621655861,0.9445125965009314
54D,S1,C-DANN,domain adaptation,0.8410256410256409,0.8408179012345679,0.8447211305294455
54D,S1,CDAN+C-DANN,domain adaptation,0.8307692307692308,0.8309670781893004,0.8302135184126916
54D,S1,MK-MMD+CDAN,domain adaptation,0.8857142857142858,0.8825360082304525,0.8871306809353634
54D,S2,C-DANN,domain adaptation,0.8864468864468865,0.8851594650205762,0.887307229507875
