experiment,split,seed,parameter,parameter_value,best_epoch,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,alpha,beta,C,l1_ratio
target-weighted,SI2_train_I_D1_val_D2_3_test_D4plus,3,,,40.0,0.9230769230769232,0.9333333333333332,0.9234817813765184,,0.5,,
target-weighted,SI2_train_I_D1_val_D2_3_test_D4plus,4,,,30.0,0.9230769230769232,0.9333333333333332,0.9234817813765184,,0.5,,
target-weighted,SI2_train_I_D1_val_D2_3_test_D4plus,0,,,40.0,0.9230769230769232,0.9333333333333332,0.9234817813765184,,1.0,,
target-weighted,SI2_train_I_D1_val_D2_3_test_D4plus,1,,,140.0,0.9615384615384616,0.9666666666666668,0.9568151147098516,,1.0,,
target-weighted,SI2_train_I_D1_val_D2_3_test_D4plus,2,,,30.0,0.9230769230769232,0.9333333333333332,0.9234817813765184,,1.0,,
target-weighted,SI2_train_I_D1_val_D2_3_test_D4plus,3,,,40.0,0.9230769230769232,0.9333333333333332,0.9234817813765184,,1.0,,
target-weighted,SI2_train_I_D1_val_D2_3_test_D4plus,4,,,30.0,0.9230769230769232,0.9333333333333332,0.9234817813765184,,1.0,,
target-weighted,SI2_train_I_D1_val_D2_3_test_D4plus,0,,,60.0,0.9230769230769232,0.9333333333333332,0.9234817813765184,,2.0,,
target-weighted,SI2_train_I_D1_val_D2_3_test_D4plus,1,,,140.0,0.9230769230769232,0.9333333333333332,0.9172932330827068,,2.0,,
target-weighted,SI2_train_I_D1_val_D2_3_test_D4plus,2,,,380.0,0.9230769230769232,0.9333333333333332,0.9234817813765184,,2.0,,
target-weighted,SI2_train_I_D1_val_D2_3_test_D4plus,3,,,280.0,0.8846153846153846,0.9,0.882010582010582,,2.0,,
target-weighted,SI2_train_I_D1_val_D2_3_test_D4plus,4,,,40.0,0.9230769230769232,0.9333333333333332,0.9234817813765184,,2.0,,
target-weighted,SI3_train_I_D1_2_val_D3_5_test_D6plus,0,,,50.0,0.95,0.9555555555555556,0.9553571428571428,,0.5,,
target-weighted,SI3_train_I_D1_2_val_D3_5_test_D6plus,1,,,360.0,0.95,0.9444444444444444,0.9501285541439808,,0.5,,
target-weighted,SI3_train_I_D1_2_val_D3_5_test_D6plus,2,,,100.0,0.95,0.9555555555555556,0.9553571428571428,,0.5,,
target-weighted,SI3_train_I_D1_2_val_D3_5_test_D6plus,3,,,130.0,0.95,0.9555555555555556,0.9553571428571428,,0.5,,
target-weighted,SI3_train_I_D1_2_val_D3_5_test_D6plus,4,,,100.0,0.975,0.977777777777778,0.9777530589543938,,0.5,,
target-weighted,SI3_train_I_D1_2_val_D3_5_test_D6plus,0,,,390.0,0.9,0.9,0.9062034170393304,,1.0,,
target-weighted,SI3_train_I_D1_2_val_D3_5_test_D6plus,1,,,100.0,0.95,0.9555555555555556,0.9553571428571428,,1.0,,
target-weighted,SI3_train_I_D1_2_val_D3_5_test_D6plus,2,,,70.0,0.95,0.9555555555555556,0.9553571428571428,,1.0,,
target-weighted,SI3_train_I_D1_2_val_D3_5_test_D6plus,3,,,150.0,0.975,0.977777777777778,0.9777530589543938,,1.0,,
target-weighted,SI3_train_I_D1_2_val_D3_5_test_D6plus,4,,,40.0,0.95,0.9555555555555556,0.9553571428571428,,1.0,,
target-weighted,SI3_train_I_D1_2_val_D3_5_test_D6plus,0,,,110.0,0.95,0.9555555555555556,0.9553571428571428,,2.0,,
target-weighted,SI3_train_I_D1_2_val_D3_5_test_D6plus,1,,,170.0,0.95,0.9555555555555556,0.9553571428571428,,2.0,,
target-weighted,SI3_train_I_D1_2_val_D3_5_test_D6plus,2,,,140.0,0.95,0.9555555555555556,0.9553571428571428,,2.0,,
target-weighted,SI3_train_I_D1_2_val_D3_5_test_D6plus,3,,,150.0,0.95,0.9555555555555556,0.9553571428571428,,2.0,,
target-weighted,SI3_train_I_D1_2_val_D3_5_test_D6plus,4,,,90.0,0.95,0.9555555555555556,0.9553571428571428,,2.0,,
target-weighted,SI4_train_I_D1_3_val_D4_5_test_D6plus,0,,,240.0,0.9230769230769232,0.9333333333333332,0.9326599326599326,,0.5,,
target-weighted,SI4_train_I_D1_3_val_D4_5_test_D6plus,1,,,30.0,0.9230769230769232,0.9333333333333332,0.9326599326599326,,0.5,,
target-weighted,SI4_train_I_D1_3_val_D4_5_test_D6plus,2,,,50.0,0.9230769230769232,0.9333333333333332,0.9326599326599326,,0.5,,
target-weighted,SI4_train_I_D1_3_val_D4_5_test_D6plus,3,,,190.0,0.9230769230769232,0.9333333333333332,0.9326599326599326,,0.5,,
target-weighted,SI4_train_I_D1_3_val_D4_5_test_D6plus,4,,,310.0,0.9615384615384616,0.9666666666666668,0.9665831244778612,,0.5,,
target-weighted,SI4_train_I_D1_3_val_D4_5_test_D6plus,0,,,400.0,0.9615384615384616,0.9666666666666668,0.9665831244778612,,1.0,,
target-weighted,SI4_train_I_D1_3_val_D4_5_test_D6plus,1,,,60.0,0.9230769230769232,0.9333333333333332,0.9326599326599326,,1.0,,
target-weighted,SI4_train_I_D1_3_val_D4_5_test_D6plus,2,,,60.0,0.9230769230769232,0.9333333333333332,0.9326599326599326,,1.0,,
target-weighted,SI4_train_I_D1_3_val_D4_5_test_D6plus,3,,,330.0,0.9230769230769232,0.9333333333333332,0.9326599326599326,,1.0,,
target-weighted,SI4_train_I_D1_3_val_D4_5_test_D6plus,4,,,90.0,0.9230769230769232,0.9333333333333332,0.9326599326599326,,1.0,,
target-weighted,SI4_train_I_D1_3_val_D4_5_test_D6plus,0,,,390.0,0.9230769230769232,0.9333333333333332,0.9326599326599326,,2.0,,
target-weighted,SI4_train_I_D1_3_val_D4_5_test_D6plus,1,,,60.0,0.9230769230769232,0.9333333333333332,0.9326599326599326,,2.0,,
target-weighted,SI4_train_I_D1_3_val_D4_5_test_D6plus,2,,,80.0,0.9230769230769232,0.9333333333333332,0.9326599326599326,,2.0,,
target-weighted,SI4_train_I_D1_3_val_D4_5_test_D6plus,3,,,50.0,0.9230769230769232,0.9333333333333332,0.9326599326599326,,2.0,,
target-weighted,SI4_train_I_D1_3_val_D4_5_test_D6plus,4,,,100.0,0.9230769230769232,0.9333333333333332,0.9326599326599326,,2.0,,
base-feature-fusion,SI1_train_I_D1_val_D2_test_D3plus,0,fixed CDAN+C-DANN strengths,alignment=0.2;centroid=0.2,40.0,,,,,,,
base-feature-fusion,SI1_train_I_D1_val_D2_test_D3plus,1,fixed CDAN+C-DANN strengths,alignment=0.2;centroid=0.2,20.0,,,,,,,
base-feature-fusion,SI1_train_I_D1_val_D2_test_D3plus,2,fixed CDAN+C-DANN strengths,alignment=0.2;centroid=0.2,20.0,,,,,,,
base-feature-fusion,SI1_train_I_D1_val_D2_test_D3plus,3,fixed CDAN+C-DANN strengths,alignment=0.2;centroid=0.2,30.0,,,,,,,
base-feature-fusion,SI1_train_I_D1_val_D2_test_D3plus,4,fixed CDAN+C-DANN strengths,alignment=0.2;centroid=0.2,20.0,,,,,,,
elastic-net,SI1_train_I_D1_val_D2_test_D3plus,0,,,,0.9166666666666666,0.9333333333333332,0.8962962962962964,,,0.1,0.25
elastic-net,SI1_train_I_D1_val_D2_test_D3plus,0,,,,0.8333333333333334,0.8666666666666667,0.8196969696969697,,,0.1,0.5
elastic-net,SI1_train_I_D1_val_D2_test_D3plus,0,,,,0.75,0.8000000000000002,0.7555555555555555,,,0.1,0.75
elastic-net,SI1_train_I_D1_val_D2_test_D3plus,0,,,,0.9166666666666666,0.9333333333333332,0.8962962962962964,,,1.0,0.25
elastic-net,SI1_train_I_D1_val_D2_test_D3plus,0,,,,0.9166666666666666,0.9333333333333332,0.8962962962962964,,,1.0,0.5
elastic-net,SI1_train_I_D1_val_D2_test_D3plus,0,,,,0.9166666666666666,0.9333333333333332,0.8962962962962964,,,1.0,0.75
elastic-net,SI1_train_I_D1_val_D2_test_D3plus,0,,,,0.75,0.7999999999999999,0.7367724867724869,,,10.0,0.25
elastic-net,SI1_train_I_D1_val_D2_test_D3plus,0,,,,0.9166666666666666,0.9333333333333332,0.8962962962962964,,,10.0,0.5
elastic-net,SI1_train_I_D1_val_D2_test_D3plus,0,,,,0.9166666666666666,0.9333333333333332,0.8962962962962964,,,10.0,0.75
elastic-net,SI1_train_I_D1_val_D2_test_D3plus,1,,,,0.8333333333333334,0.8666666666666667,0.8296296296296296,,,0.1,0.25
elastic-net,SI1_train_I_D1_val_D2_test_D3plus,1,,,,0.9166666666666666,0.9333333333333332,0.8962962962962964,,,0.1,0.5
elastic-net,SI1_train_I_D1_val_D2_test_D3plus,1,,,,0.8333333333333334,0.8666666666666667,0.8196969696969697,,,0.1,0.75
elastic-net,SI1_train_I_D1_val_D2_test_D3plus,1,,,,0.9166666666666666,0.9333333333333332,0.8962962962962964,,,1.0,0.25
elastic-net,SI1_train_I_D1_val_D2_test_D3plus,1,,,,0.9166666666666666,0.9333333333333332,0.8962962962962964,,,1.0,0.5
elastic-net,SI1_train_I_D1_val_D2_test_D3plus,1,,,,0.9166666666666666,0.9333333333333332,0.8962962962962964,,,1.0,0.75
elastic-net,SI1_train_I_D1_val_D2_test_D3plus,1,,,,0.75,0.7999999999999999,0.7590909090909091,,,10.0,0.25
elastic-net,SI1_train_I_D1_val_D2_test_D3plus,1,,,,0.75,0.7999999999999999,0.7590909090909091,,,10.0,0.5
elastic-net,SI1_train_I_D1_val_D2_test_D3plus,1,,,,0.8333333333333334,0.8666666666666667,0.8296296296296296,,,10.0,0.75
elastic-net,SI1_train_I_D1_val_D2_test_D3plus,2,,,,0.9166666666666666,0.9333333333333332,0.8962962962962964,,,0.1,0.25
elastic-net,SI1_train_I_D1_val_D2_test_D3plus,2,,,,0.8333333333333334,0.8666666666666667,0.8196969696969697,,,0.1,0.5
elastic-net,SI1_train_I_D1_val_D2_test_D3plus,2,,,,0.8333333333333334,0.8666666666666667,0.8196969696969697,,,0.1,0.75
elastic-net,SI1_train_I_D1_val_D2_test_D3plus,2,,,,0.9166666666666666,0.9333333333333332,0.8962962962962964,,,1.0,0.25
