feature_set,split,mode,classifier_strategy,method,accuracy,accuracy_std,balanced_accuracy,macro_f1,seed_count,best_within_feature_split,best_overall_split
48D,S5_train_I_D1_val_D2_3,semi,Post-hoc LR,mk-mmd,0.89004329004329,0.023029326542459556,0.8894614421184469,0.8919745640614234,5,False,False
48D,S5_train_I_D1_val_D2_3,semi,Post-hoc LR,source-only,0.8528138528138529,0.02822165543377768,0.8557881553050635,0.8546690950092776,5,False,False
48D,S6_train_I_D1_2_val_D3_5,semi,End-to-end LR,c-dann,0.9463414634146343,0.009756097560975618,0.9468067665250764,0.9467579843194434,5,False,False
48D,S6_train_I_D1_2_val_D3_5,semi,End-to-end LR,cdan,0.9336585365853658,0.02251313318871089,0.9334078545346151,0.9338886275272109,5,False,False
48D,S6_train_I_D1_2_val_D3_5,semi,End-to-end LR,cdan+c-dann,0.9414634146341463,0.01422183388986652,0.9411580594679186,0.941624018609518,5,False,False
48D,S6_train_I_D1_2_val_D3_5,semi,End-to-end LR,dann,0.9482926829268292,0.017452237873168984,0.9483269990312244,0.9486881910501316,5,True,False
48D,S6_train_I_D1_2_val_D3_5,semi,End-to-end LR,deep-coral,0.9385365853658536,0.021430129401452398,0.9375065206051121,0.9387441023199232,5,False,False
48D,S6_train_I_D1_2_val_D3_5,semi,End-to-end LR,mk-mmd,0.9453658536585365,0.0063601974684902906,0.9455100976227737,0.9458539818995474,5,False,False
48D,S6_train_I_D1_2_val_D3_5,semi,End-to-end LR,source-only,0.9395121951219514,0.004363059468292285,0.9397570608838215,0.940291829410264,5,False,False
48D,S6_train_I_D1_2_val_D3_5,semi,MLP Head,c-dann,0.937560975609756,0.03591251184254819,0.937163723079216,0.9383431706598687,5,False,False
48D,S6_train_I_D1_2_val_D3_5,semi,MLP Head,cdan,0.9170731707317072,0.030658061195064683,0.9151799687010955,0.9175143093004582,5,False,False
48D,S6_train_I_D1_2_val_D3_5,semi,MLP Head,cdan+c-dann,0.9268292682926831,0.017588055002263254,0.926477382815411,0.9273901078850784,5,False,False
48D,S6_train_I_D1_2_val_D3_5,semi,MLP Head,dann,0.9395121951219512,0.012243805266352261,0.9395185930397199,0.9405027279621476,5,False,False
48D,S6_train_I_D1_2_val_D3_5,semi,MLP Head,deep-coral,0.9239024390243904,0.05589571321221944,0.9213950368879946,0.9239435639353571,5,False,False
48D,S6_train_I_D1_2_val_D3_5,semi,MLP Head,mk-mmd,0.9317073170731707,0.03746900364813952,0.930099113197705,0.9319906548595057,5,False,False
48D,S6_train_I_D1_2_val_D3_5,semi,MLP Head,source-only,0.9102439024390243,0.02979206143337063,0.9107534093449587,0.9115709692735259,5,False,False
48D,S6_train_I_D1_2_val_D3_5,semi,Post-hoc LR,c-dann,0.9317073170731707,0.03104371234477527,0.9315299202623146,0.9332807613087905,5,False,False
