family,feature_set,split,method,method_family,representation,head,seeds,train_accuracy,train_accuracy_min,train_accuracy_max,train_accuracy_std,test_accuracy,test_accuracy_min,test_accuracy_max,test_accuracy_std,test_balanced_accuracy,test_balanced_accuracy_min,test_balanced_accuracy_max,test_balanced_accuracy_std,test_macro_f1,test_macro_f1_min,test_macro_f1_max,test_macro_f1_std
domain-adaptation,54D,S5_train_I_D1_val_D2_3,mk-mmd,opensource-core,bottleneck16,linear,"0,1,2,3,4",0.9833333333333334,0.9583333333333334,1.0,0.0228217732293819,0.9324675324675324,0.9177489177489178,0.961038961038961,0.016654012174607227,0.9326534263732331,0.918947933440687,0.9586688137412774,0.015227167914035363,0.9342976584870162,0.9207616656204226,0.9610153170232612,0.015603310511731359
domain-adaptation,54D,S5_train_I_D1_val_D2_3,cdan,opensource-core,bottleneck16,linear,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.9272727272727274,0.9090909090909092,0.9567099567099568,0.019932232784798866,0.9264269100017893,0.9078547146179996,0.9574163535516192,0.020527999590394384,0.9291944433846254,0.9113646278602549,0.957840852961867,0.019256546775441245
domain-adaptation,54D,S5_train_I_D1_val_D2_3,source-only,opensource-core,bottleneck16,mlp,"0,1,2,3,4",0.9916666666666668,0.9722222222222222,1.0,0.01242259987499883,0.90995670995671,0.8961038961038961,0.9264069264069263,0.012396381872966522,0.9125424941850063,0.900518876364287,0.9264626945786366,0.010512690155916174,0.9126282141909403,0.898400772185977,0.9291446493328293,0.01282152549716739
domain-adaptation,54D,S5_train_I_D1_val_D2_3,dann,opensource-core,bottleneck16,mlp,"0,1,2,3,4",0.9972222222222221,0.9861111111111112,1.0,0.006211299937499394,0.9203463203463202,0.8787878787878788,0.948051948051948,0.02535333413739622,0.9208445160135982,0.8776167471819646,0.9484702093397748,0.026137626672814458,0.9229403706701536,0.8820333677476535,0.9499549005731096,0.024910343288397672
domain-adaptation,54D,S5_train_I_D1_val_D2_3,deep-coral,opensource-core,bottleneck16,mlp,"0,1,2,3,4",0.9916666666666668,0.9583333333333334,1.0,0.01863389981249823,0.9341991341991343,0.9264069264069263,0.9437229437229436,0.007113279967599552,0.9345857935229915,0.9278940776525316,0.9429235999284308,0.006351888391191167,0.9363975396704018,0.9294664155681104,0.945390749601276,0.006367448649313441
domain-adaptation,54D,S5_train_I_D1_val_D2_3,mk-mmd,opensource-core,bottleneck16,mlp,"0,1,2,3,4",0.9888888888888889,0.9444444444444444,1.0,0.024845199749997673,0.9316017316017315,0.9134199134199136,0.948051948051948,0.012768728314937281,0.9306852746466273,0.9126856324923956,0.947754517802827,0.012932424281727506,0.9328301932251352,0.9157244138518936,0.9497452281806374,0.012434919799296104
domain-adaptation,54D,S5_train_I_D1_val_D2_3,cdan,opensource-core,bottleneck16,mlp,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.9281385281385284,0.9090909090909092,0.9523809523809524,0.018005744019987356,0.9279656468062265,0.9114331723027376,0.9504383610663804,0.01668046913053602,0.9300533557031747,0.9110450361411472,0.9530381685861972,0.017191643104768742
classical-ml,54D,S6_train_I_D1_2_val_D3_5,logistic-regression,classical-ml,raw,logistic-regression,-1,0.9693877551020408,0.9693877551020408,0.9693877551020408,,0.9707317073170731,0.9707317073170731,0.9707317073170731,,0.9712348163052388,0.9712348163052388,0.9712348163052388,,0.971348528823216,0.971348528823216,0.971348528823216,
classical-ml,54D,S6_train_I_D1_2_val_D3_5,mlp,classical-ml,raw,mlp,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.9453658536585365,0.926829268292683,0.9560975609756096,0.011123662683893976,0.9436023548699606,0.9242119382964454,0.9541694612117148,0.011535439059054634,0.9451734546275314,0.926524803469775,0.9557353127775664,0.011122357428758911
domain-adaptation,54D,S6_train_I_D1_2_val_D3_5,source-only,opensource-core,bottleneck16,linear,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.9648780487804878,0.951219512195122,0.9707317073170731,0.008015452061051165,0.9648856099560325,0.9506669647514716,0.9712348163052388,0.008428048061699321,0.9658180897923059,0.9524353313370214,0.9716543696981652,0.007885369689650206
domain-adaptation,54D,S6_train_I_D1_2_val_D3_5,dann,opensource-core,bottleneck16,linear,"0,1,2,3,4",0.9938775510204081,0.9693877551020408,1.0,0.013690212107141584,0.953170731707317,0.9414634146341464,0.9658536585365852,0.01224380526635222,0.9531410686340264,0.9412772933899696,0.9665399806244878,0.01227151733790851,0.9537636353457957,0.9417791806404944,0.9662466876892188,0.011798650390574211
domain-adaptation,54D,S6_train_I_D1_2_val_D3_5,deep-coral,opensource-core,bottleneck16,linear,"0,1,2,3,4",0.9938775510204081,0.9693877551020408,1.0,0.013690212107141584,0.9648780487804878,0.9609756097560976,0.9707317073170731,0.005343634707367418,0.9644086742678292,0.9606528057232282,0.9700424770847306,0.005142934812255094,0.9653001317646664,0.9612739158968148,0.970955647784916,0.005090318527989551
domain-adaptation,54D,S6_train_I_D1_2_val_D3_5,mk-mmd,opensource-core,bottleneck16,linear,"0,1,2,3,4",0.9938775510204081,0.9693877551020408,1.0,0.013690212107141584,0.9551219512195122,0.9365853658536586,0.9658536585365852,0.011123662683893976,0.9541843654519712,0.9365824577092182,0.9647514717937252,0.010684687573802976,0.955305750156619,0.9373661848133116,0.9662168383897788,0.010871613804340145
domain-adaptation,54D,S6_train_I_D1_2_val_D3_5,cdan,opensource-core,bottleneck16,linear,"0,1,2,3,4",0.9918367346938777,0.9591836734693876,1.0,0.0182536161428555,0.9570731707317073,0.946341463414634,0.975609756097561,0.011123662683894057,0.9570161711006782,0.9453759594604664,0.97592965198599,0.011500724469603497,0.9575020109804478,0.9468915815316384,0.9763152709359608,0.011229478149388317
domain-adaptation,54D,S6_train_I_D1_2_val_D3_5,source-only,opensource-core,bottleneck16,mlp,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.9600000000000002,0.9414634146341464,0.975609756097561,0.012146243510232885,0.9605484760414338,0.9412772933899696,0.97592965198599,0.012386625260320791,0.9608288529886811,0.9425594606549884,0.9763336291038156,0.012009832546425068
domain-adaptation,54D,S6_train_I_D1_2_val_D3_5,dann,opensource-core,bottleneck16,mlp,"0,1,2,3,4",0.9877551020408163,0.9693877551020408,1.0,0.016767017066484695,0.9580487804878048,0.951219512195122,0.975609756097561,0.0101153372455257,0.9572397347045234,0.9494746255309636,0.9747373127654818,0.010295448507353049,0.9581022855367752,0.951313043171264,0.9757701454565564,0.010127968954263657
