family,feature_set,split,method,method_family,representation,head,seed_count,seeds,train_accuracy,train_accuracy_std,train_accuracy_min,train_accuracy_max,test_accuracy,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_balanced_accuracy,test_balanced_accuracy_std,test_balanced_accuracy_min,test_balanced_accuracy_max,test_macro_f1,test_macro_f1_std,test_macro_f1_min,test_macro_f1_max
domain-adaptation,48D,S2_train_I_internal_val_test_all,dann,opensource-core,bottleneck16,linear,5,"0,1,2,3,4",0.9600000000000002,0.07226494462892932,0.8333333333333334,1.0,0.7377289377289377,0.0535600783192212,0.652014652014652,0.7912087912087912,0.7299125514403292,0.05049473283441085,0.6502057613168724,0.7840792181069959,0.7342379454021316,0.050151953669503244,0.6575188636587311,0.7933402346445825
domain-adaptation,48D,S2_train_I_internal_val_test_all,deep-coral,opensource-core,bottleneck16,linear,5,"0,1,2,3,4",0.8600000000000001,0.1906130460732773,0.5666666666666667,1.0,0.6534798534798535,0.09986640568423394,0.5018315018315018,0.7545787545787546,0.6458076131687243,0.0953406814330721,0.4956275720164609,0.7429269547325102,0.639691727921554,0.10485729315385815,0.4741631101207337,0.7466924807475989
domain-adaptation,48D,S2_train_I_internal_val_test_all,mk-mmd,opensource-core,bottleneck16,linear,5,"0,1,2,3,4",0.8400000000000001,0.17857460314638499,0.5666666666666667,1.0,0.6476190476190476,0.08269793587019181,0.5054945054945055,0.7142857142857143,0.6443672839506173,0.08218395553807303,0.5003858024691358,0.7034465020576133,0.6425909589292711,0.09475401656512883,0.4767635581408007,0.712016998146518
domain-adaptation,48D,S2_train_I_internal_val_test_all,cdan,opensource-core,bottleneck16,linear,5,"0,1,2,3,4",0.8600000000000001,0.1816590212458495,0.5666666666666667,1.0,0.6344322344322345,0.08910214057852357,0.5128205128205128,0.7142857142857143,0.627366255144033,0.0920536063783024,0.5066872427983539,0.7098765432098766,0.6215327544694533,0.10549194063043695,0.4853664853664853,0.7185543088898639
domain-adaptation,48D,S2_train_I_internal_val_test_all,source-only,opensource-core,bottleneck16,mlp,5,"0,1,2,3,4",0.9133333333333333,0.0869226987360353,0.8,1.0,0.6432234432234432,0.05881374164520527,0.5787545787545788,0.7142857142857143,0.6426440329218107,0.062007831057413594,0.5595421810699589,0.7060185185185186,0.6324594535520214,0.06606353570333197,0.5438389083087461,0.7114613360465892
domain-adaptation,48D,S2_train_I_internal_val_test_all,dann,opensource-core,bottleneck16,mlp,5,"0,1,2,3,4",0.9666666666666668,0.0408248290463863,0.9,1.0,0.6989010989010989,0.051634061359241507,0.6263736263736264,0.7619047619047619,0.6898919753086419,0.05727615597171809,0.6104681069958847,0.7588734567901234,0.6900768127607703,0.061198284599779385,0.6074788263762855,0.7631048635489037
domain-adaptation,48D,S2_train_I_internal_val_test_all,deep-coral,opensource-core,bottleneck16,mlp,5,"0,1,2,3,4",0.9666666666666668,0.05773502691896256,0.8666666666666667,1.0,0.6871794871794872,0.040508912237213895,0.6446886446886447,0.7326007326007326,0.6822530864197531,0.039368280749812946,0.6329732510288065,0.722093621399177,0.681674360914519,0.04422326978307709,0.6313313472126736,0.7249784837293416
domain-adaptation,48D,S2_train_I_internal_val_test_all,mk-mmd,opensource-core,bottleneck16,mlp,5,"0,1,2,3,4",0.9066666666666666,0.10110500592068736,0.7666666666666667,1.0,0.6857142857142857,0.0593135197740257,0.6190476190476191,0.7582417582417582,0.68369341563786,0.05593534154771025,0.6203703703703703,0.7444701646090534,0.678493616020999,0.06005514092843392,0.6112389402711983,0.7471912906356137
domain-adaptation,48D,S2_train_I_internal_val_test_all,cdan,opensource-core,bottleneck16,mlp,5,"0,1,2,3,4",0.9800000000000001,0.018257418583505474,0.9666666666666668,1.0,0.7098901098901098,0.10802445601739692,0.5238095238095238,0.7912087912087912,0.7032664609053498,0.11246451157142583,0.5113168724279835,0.7834362139917695,0.7064233510890683,0.10777121819320541,0.5240081473965726,0.7883745149216889
classical-ml,48D,S3_train_I_internal_20_10_test_all,logistic-regression,classical-ml,raw,logistic-regression,1,-1,0.8,,0.8,0.8,0.608058608058608,,0.608058608058608,0.608058608058608,0.6078960905349794,,0.6078960905349794,0.6078960905349794,0.6105555010839843,,0.6105555010839843,0.6105555010839843
